var_1,var_2,var_3,var_4,var_5
b,f,d,d,c
c,c,d,b,e
c,b,d,b,f
f,b,a,d,c
a,a,c,e,a
a,a,a,c,b
d,c,f,e,f
f,c,e,d,a
d,b,e,d,f
e,e,c,c,e
e,f,b,d,d
b,e,c,c,e
a,f,b,a,f
f,c,a,a,e
b,b,c,c,a
c,c,c,f,e
e,d,f,b,f
c,d,e,a,d
d,c,e,d,d
e,b,f,a,c
f,f,c,d,c
c,e,f,a,b
f,d,b,f,e
e,d,e,f,c
a,f,d,c,b
a,f,b,d,a
d,b,f,d,a
a,b,f,d,e
f,a,c,c,a
f,e,c,e,e
e,a,b,a,f
e,d,c,e,b
d,e,f,c,d
e,c,a,e,e
d,e,b,a,e
c,b,d,a,e
e,e,b,f,a
d,d,f,a,d
d,e,a,e,a
a,c,e,c,c
b,d,a,b,d
d,f,c,c,e
d,c,f,a,e
d,d,a,c,c
b,f,e,a,a
e,c,f,a,d
c,b,c,a,a
b,b,c,f,d
f,e,c,b,a
e,f,a,f,d
b,e,f,b,b
f,b,f,c,d
c,a,a,d,f
d,a,c,c,c
b,b,f,d,e
e,f,a,a,f
c,e,d,b,a
a,c,a,a,e
a,b,f,c,f
e,c,d,d,a
c,a,c,f,a
f,a,d,b,e
c,b,f,e,d
c,e,c,d,c
a,d,f,c,e
b,c,e,a,c
e,e,d,b,a
e,a,c,b,e
e,b,e,c,a
d,f,d,a,d
f,d,c,a,a
d,b,e,d,a
d,f,c,b,b
c,c,c,e,d
c,d,f,b,b
a,f,e,c,c
a,a,f,b,a
e,a,f,c,c
a,e,e,f,d
a,d,c,e,e
d,a,c,a,a
d,e,c,a,b
d,f,b,f,a
d,f,e,a,c
c,a,c,e,f
b,e,c,c,a
f,c,f,d,d
b,d,d,a,a
f,e,f,a,b
a,b,a,b,d
b,c,c,a,d
f,e,f,e,e
f,e,e,c,f
e,f,a,d,e
e,d,c,e,a
d,b,e,b,a
d,d,f,b,e
b,d,a,c,a
f,f,a,e,d
a,e,e,d,e
