var_1,var_2,var_3,var_4,var_5
d,b,b,a,d
d,c,b,b,d
a,d,d,b,a
a,d,b,d,c
c,d,c,b,c
d,d,d,c,c
d,b,c,c,d
a,a,d,a,d
a,d,b,c,b
c,b,b,c,b
a,c,b,c,c
d,b,a,c,b
c,d,c,c,c
d,c,d,d,d
a,d,b,c,a
a,d,b,c,b
b,a,b,b,a
a,d,c,b,c
d,c,b,d,a
a,d,c,a,c
d,d,b,c,c
c,c,c,b,b
d,c,d,d,c
d,b,c,c,c
c,c,b,d,b
d,c,b,a,c
a,d,a,a,d
b,d,a,c,a
d,c,b,b,d
a,b,b,a,c
d,b,a,d,c
a,d,b,b,b
a,a,d,a,b
a,d,c,b,c
a,b,a,b,c
a,c,a,c,c
d,c,a,d,c
d,a,b,d,b
a,d,a,d,c
a,a,d,c,d
d,d,c,d,d
a,d,b,a,c
a,c,c,b,c
a,d,a,b,a
d,c,c,d,c
a,a,c,a,c
d,d,b,b,c
c,d,b,c,a
d,a,b,a,d
c,d,b,c,d
a,b,c,c,c
b,c,b,c,a
a,c,d,b,a
d,a,c,a,a
c,a,a,d,c
c,d,c,b,d
c,d,c,c,b
b,c,d,a,a
a,c,a,a,c
d,c,a,d,a
c,b,d,c,c
d,d,c,d,d
c,d,d,c,d
b,a,a,c,c
a,d,d,c,d
c,c,c,c,c
c,d,b,c,d
a,c,d,d,b
a,a,a,d,a
a,b,c,d,b
b,a,c,a,c
a,a,c,c,a
a,a,b,a,c
b,d,b,b,b
a,d,c,c,a
c,d,c,c,d
a,c,b,c,b
a,c,c,c,a
d,c,a,c,a
b,b,b,c,b
a,a,a,d,b
c,d,d,b,b
c,d,d,c,a
d,d,b,c,c
c,d,a,d,c
a,c,b,b,d
a,a,b,c,a
a,a,b,d,d
d,c,c,c,a
d,d,b,d,b
a,c,d,c,a
c,d,a,c,b
d,d,c,b,d
b,b,c,a,c
c,d,d,c,d
b,a,a,c,a
d,d,a,c,d
b,a,d,c,d
a,a,c,c,b
d,a,a,d,d
