var_1,var_2,var_3,var_4,var_5,var_6
c,c,f,a,d,e
e,d,e,b,d,e
d,e,e,a,a,d
e,c,a,a,d,f
a,e,c,d,a,b
a,e,d,f,d,e
a,d,e,d,e,f
e,d,a,a,c,b
e,a,d,c,b,e
b,a,b,d,e,c
b,c,d,f,d,f
b,b,e,c,e,b
a,c,f,b,f,b
e,d,a,b,e,c
b,a,b,d,c,f
e,b,e,f,a,a
b,d,e,d,f,b
d,f,c,e,d,e
f,d,e,f,d,f
f,e,c,d,b,b
d,e,f,a,a,b
d,a,b,f,a,e
e,f,f,f,e,e
d,a,d,e,e,f
a,c,e,c,a,f
c,c,f,a,c,b
e,a,c,a,c,c
e,e,d,a,e,e
e,e,e,a,e,c
e,b,d,a,e,b
b,a,f,e,f,c
d,f,b,d,a,f
a,a,c,e,e,d
e,d,a,d,e,b
d,b,d,e,e,e
a,e,d,a,c,f
a,e,f,f,c,c
f,f,d,e,e,e
f,b,b,d,c,f
a,d,d,c,e,b
e,f,d,a,d,e
e,c,d,d,e,a
a,d,a,e,b,f
f,f,a,c,b,f
c,c,d,c,c,a
e,d,a,e,f,b
e,a,e,f,c,f
c,a,f,a,a,a
b,b,a,d,c,b
b,c,f,f,b,f
c,f,e,f,b,e
a,f,a,f,d,b
e,a,e,a,f,e
c,b,b,c,d,c
c,a,b,a,e,b
e,c,d,e,f,c
e,b,b,e,c,a
b,d,c,e,c,f
e,f,c,c,f,c
b,e,e,a,b,a
d,e,b,c,c,b
e,c,b,b,b,b
f,a,c,d,d,f
b,e,d,a,b,f
a,c,e,b,e,a
d,d,d,e,a,b
c,c,e,b,c,c
f,e,b,b,f,e
e,e,d,b,d,f
f,c,e,b,e,b
b,f,b,e,f,c
e,a,d,f,c,f
f,e,b,b,a,d
d,d,e,d,a,c
d,e,d,a,a,b
a,c,a,c,b,d
e,a,e,f,c,f
b,c,a,d,e,c
d,f,d,a,a,b
b,a,e,d,e,b
e,e,b,e,b,c
a,b,b,f,a,d
f,c,b,f,f,d
f,c,d,e,b,d
d,e,d,d,f,a
c,e,e,e,e,a
b,c,c,a,a,a
c,f,e,e,c,a
e,d,c,e,a,d
a,a,d,b,d,f
c,d,b,b,a,c
c,d,a,e,e,e
e,d,d,f,f,e
b,c,d,a,f,e
f,f,e,d,c,b
f,a,f,d,c,a
e,f,d,b,d,a
e,f,a,c,b,b
e,a,a,d,e,a
a,b,d,c,f,e
a,d,e,d,d,b
d,c,d,d,a,a
d,f,e,f,f,e
e,c,c,b,d,b
d,d,e,e,e,b
b,d,c,a,f,d
a,e,b,b,d,d
a,c,a,f,f,f
b,c,f,f,a,d
a,d,f,c,b,d
e,e,e,c,b,f
b,a,a,f,a,d
e,d,d,a,a,b
d,d,e,a,e,b
d,d,f,c,e,e
e,a,b,e,c,e
a,b,e,b,f,d
d,e,d,a,a,c
b,b,b,a,a,d
f,a,f,b,e,b
b,e,c,a,a,b
f,c,f,a,d,b
d,d,d,b,d,e
e,a,e,a,e,e
e,c,f,c,d,f
f,d,e,e,a,f
a,d,e,a,c,b
d,d,c,b,a,d
d,d,c,f,c,f
c,c,c,e,a,d
b,b,b,d,a,d
d,c,e,f,e,a
b,c,c,a,a,e
a,e,e,a,c,b
e,f,c,d,e,a
b,e,d,a,b,e
e,a,e,f,d,e
b,f,d,b,c,a
d,c,e,a,b,f
e,a,a,a,d,d
f,f,c,d,e,c
d,b,e,b,a,f
a,d,e,d,e,c
e,e,e,f,e,f
a,d,b,e,e,e
