var_1,var_2
f,b
c,f
b,b
d,e
c,f
b,d
d,f
f,d
b,e
f,e
c,b
a,f
e,b
f,e
c,f
a,c
d,b
f,f
a,b
b,e
a,b
b,f
f,d
c,f
c,f
c,f
c,d
f,b
e,d
f,f
a,e
a,a
e,c
d,c
f,e
f,d
d,d
c,a
b,c
c,f
e,a
d,b
e,f
e,f
b,b
f,f
f,b
b,e
a,c
f,f
f,a
c,d
a,d
f,e
c,c
e,b
f,e
c,f
f,e
c,f
e,b
a,a
c,e
a,c
c,d
d,f
b,b
e,d
e,d
b,b
a,a
e,d
f,b
b,f
f,b
a,b
e,e
d,c
e,c
c,b
e,d
f,c
e,b
c,b
b,b
a,a
f,b
e,a
b,b
c,d
a,a
f,d
f,e
c,a
b,a
a,e
d,a
f,a
d,b
c,c
c,d
c,b
f,e
f,a
c,c
f,e
e,c
e,a
e,a
e,a
f,c
c,c
b,c
b,c
c,e
f,e
d,c
c,a
d,c
e,e
b,b
f,e
e,b
f,e
c,f
b,f
c,f
f,d
e,b
a,a
d,b
b,c
b,a
c,d
f,d
d,e
f,d
d,e
a,b
f,e
b,a
b,b
e,e
f,e
c,c
b,b
b,c
e,b
b,e
d,e
e,e
d,c
e,b
c,a
b,d
d,a
b,a
a,c
d,a
a,d
c,a
f,d
c,f
d,f
a,b
e,f
a,c
a,f
b,e
a,f
f,b
d,a
a,c
a,f
a,a
e,b
b,a
e,b
d,a
a,a
f,d
c,b
d,f
c,f
b,f
c,f
c,c
d,f
c,d
c,b
a,c
d,c
b,f
e,d
f,b
b,b
c,b
b,a
f,c
d,f
b,b
b,d
b,e
e,c
c,e
a,a
d,e
c,f
a,a
f,c
e,f
d,d
e,f
d,b
b,e
d,a
c,f
c,a
c,a
d,c
e,c
d,d
d,c
b,c
a,b
f,e
d,e
f,e
c,d
f,b
f,e
a,e
a,d
c,c
b,c
e,e
e,a
d,f
a,c
d,c
f,d
d,a
f,d
e,c
f,f
c,b
e,f
f,f
a,a
d,f
f,e
b,e
e,c
e,a
d,d
a,a
b,b
a,c
c,e
a,c
c,a
b,e
d,f
f,f
a,b
d,e
c,a
c,a
b,e
b,d
c,f
f,b
b,b
b,b
a,a
d,a
c,a
c,c
a,a
b,c
f,e
d,a
f,e
f,f
a,c
a,b
f,b
c,f
b,b
f,a
b,e
a,b
c,f
a,a
d,c
a,a
e,e
c,e
d,d
d,c
a,d
f,f
e,b
d,c
f,f
f,b
f,b
f,e
d,d
a,c
b,b
c,c
e,b
c,b
e,b
f,e
d,d
b,a
d,f
d,a
e,d
d,f
d,d
d,d
d,a
b,d
a,d
e,c
f,b
b,a
b,c
f,e
d,b
a,c
e,d
b,f
a,d
f,f
c,e
c,b
d,c
b,a
b,d
b,e
c,a
f,e
f,b
a,a
b,b
b,b
c,c
b,f
b,e
c,a
a,a
e,c
e,b
f,e
c,c
a,d
d,f
b,d
b,a
d,b
d,d
f,e
f,e
e,e
a,a
d,b
e,d
b,e
b,d
c,a
d,b
f,d
e,b
c,a
d,d
d,a
d,a
f,d
a,c
c,d
a,d
d,c
d,c
e,a
e,f
f,e
f,e
a,f
a,a
e,a
e,b
d,f
e,e
b,e
a,f
a,a
c,f
d,d
b,f
d,c
d,a
f,f
c,f
b,b
c,a
d,b
e,c
e,c
d,a
a,b
d,b
f,e
b,a
b,b
f,e
a,b
b,d
f,e
e,f
b,a
c,f
f,f
e,a
a,a
f,f
b,f
e,a
d,c
a,e
a,f
b,f
c,c
e,c
b,b
b,f
e,a
f,e
a,e
a,a
a,e
e,f
a,e
f,e
d,b
c,a
b,f
a,a
c,c
e,c
b,f
d,a
f,b
a,a
e,d
c,f
b,a
f,e
e,f
a,e
f,d
d,a
a,a
f,e
d,a
f,e
e,d
e,c
c,a
e,b
b,b
d,f
a,c
f,c
e,c
b,f
c,f
d,e
b,b
b,f
d,e
e,b
c,a
b,e
c,b
a,e
e,b
e,c
c,f
b,e
e,b
f,b
a,a
d,c
a,b
a,b
b,a
f,e
c,a
d,a
b,e
f,d
d,a
c,e
a,d
d,c
a,f
e,a
a,b
a,a
a,c
d,f
d,b
e,c
b,c
b,b
f,f
b,e
b,b
b,b
c,e
b,e
f,f
f,a
b,b
c,d
f,d
c,c
e,f
b,b
f,e
e,c
b,e
f,b
b,b
a,d
a,b
a,b
d,c
f,e
d,a
d,b
d,b
e,a
a,e
e,d
a,d
e,e
c,e
f,b
d,e
a,b
f,e
d,d
b,e
c,d
c,e
e,a
e,a
d,d
b,e
e,c
b,c
d,a
c,d
d,f
b,f
c,b
f,d
b,a
f,a
e,c
b,d
c,e
b,b
f,e
c,a
a,b
e,f
e,e
d,e
f,d
a,e
a,c
d,f
f,e
a,e
f,b
e,a
a,d
a,b
c,a
e,a
a,a
d,a
d,c
d,e
f,e
f,d
f,d
b,b
e,e
c,f
d,b
d,a
c,a
b,a
b,e
b,b
a,a
f,d
f,b
f,d
a,c
a,f
d,e
f,e
d,d
d,b
d,b
d,c
f,a
a,a
c,c
b,e
d,b
a,e
d,a
b,c
c,a
d,c
a,a
c,b
f,c
d,b
e,f
b,f
f,e
b,b
d,f
b,a
a,b
e,a
a,d
