var_1,var_2,var_3,var_4
a,a,b,e
c,a,f,d
c,a,e,e
e,f,c,e
e,c,d,e
e,c,e,b
d,b,a,b
f,b,d,e
d,e,f,d
e,f,f,a
e,a,a,a
d,f,f,f
d,a,b,d
f,e,c,d
a,d,f,c
c,e,d,a
b,a,c,d
e,e,a,e
c,a,d,e
c,d,b,d
b,c,b,d
c,f,f,b
d,e,b,a
b,e,b,e
e,a,e,d
e,a,b,d
f,a,d,d
e,f,f,e
f,c,f,f
f,f,a,b
b,c,c,d
e,a,b,b
e,b,d,d
b,b,c,e
d,f,a,f
f,a,e,d
a,a,b,a
a,a,e,d
d,f,d,e
e,c,d,f
a,e,a,d
f,a,e,c
c,b,d,c
d,c,c,f
a,a,e,d
a,b,f,d
c,d,f,a
a,d,a,a
b,f,c,c
a,a,e,b
a,e,b,f
e,e,c,a
b,f,a,e
d,f,d,d
d,d,f,e
d,b,c,d
f,c,b,c
e,d,c,d
d,f,d,f
e,e,e,e
f,c,c,d
c,f,c,f
f,d,d,b
b,f,c,f
e,a,d,f
b,d,a,d
e,f,a,c
d,f,a,c
e,c,a,f
d,a,a,d
b,e,b,d
d,b,a,b
d,e,c,e
a,b,c,f
c,e,c,f
a,a,f,f
f,d,d,c
b,f,d,b
b,b,a,a
e,e,e,a
d,c,f,d
e,f,c,d
c,a,a,a
d,a,a,a
e,b,f,b
f,f,d,e
f,d,d,f
d,e,e,d
b,d,e,d
e,d,b,b
a,b,a,a
f,a,f,d
f,c,f,f
e,f,d,f
b,e,b,b
d,a,a,f
a,e,d,f
d,e,b,f
f,a,c,b
e,f,a,e
e,b,e,b
a,d,a,d
c,e,a,a
f,a,d,a
c,f,e,d
b,b,e,e
c,d,b,d
e,e,f,e
c,e,a,a
c,b,d,f
f,c,e,d
a,f,f,f
a,b,a,c
c,b,a,b
c,d,d,f
d,e,f,f
e,f,f,f
c,d,b,a
f,f,d,e
f,d,d,c
d,f,f,d
d,f,a,a
a,a,a,a
c,d,e,b
e,f,a,a
c,b,e,d
e,b,e,c
c,a,c,d
e,b,d,c
a,e,d,f
b,f,c,b
c,b,e,a
c,b,e,e
e,c,a,f
f,d,d,b
b,d,e,c
c,d,e,a
b,f,a,d
c,c,e,f
f,f,c,c
b,a,b,f
c,b,f,c
e,b,e,a
c,e,a,f
e,d,f,c
c,d,c,d
f,c,e,c
d,f,a,e
c,f,e,e
c,d,d,e
e,d,a,b
b,e,c,e
b,b,c,c
b,e,a,d
c,f,a,e
c,c,f,d
f,b,e,d
a,c,f,f
b,f,c,a
c,c,c,a
e,d,f,f
d,e,f,f
d,b,e,c
b,c,c,c
f,f,d,a
d,f,f,d
b,f,a,d
b,b,b,f
c,f,e,e
a,f,c,e
e,c,a,d
b,a,d,d
f,f,d,f
a,b,d,f
f,f,f,b
b,a,d,f
f,b,f,a
a,b,f,c
a,a,e,c
a,c,f,d
c,c,a,d
a,a,f,c
c,d,d,c
e,a,c,d
c,b,b,b
e,f,a,a
e,f,c,b
d,a,b,c
b,c,b,c
f,b,e,b
a,a,b,a
f,b,e,b
b,c,c,f
d,f,e,e
f,f,f,b
c,b,f,f
e,b,f,b
c,d,c,d
a,f,b,f
b,b,e,f
a,a,a,d
c,f,d,a
c,d,c,f
d,f,d,c
d,d,b,c
a,d,e,c
b,b,d,a
f,d,a,c
c,b,c,c
f,a,d,d
e,b,f,f
b,c,a,c
b,b,b,c
a,c,f,a
c,d,a,f
d,a,f,d
d,d,e,b
f,b,d,c
e,e,a,e
b,f,c,a
e,e,c,a
b,a,a,a
f,c,a,e
e,b,e,e
f,f,f,d
f,c,d,d
e,a,d,d
c,d,e,a
e,d,f,e
c,f,a,b
f,b,b,f
a,e,e,b
b,b,c,f
e,c,c,f
e,e,d,d
c,c,e,d
c,b,f,d
b,b,f,e
c,c,d,f
c,e,e,e
c,a,f,f
d,e,e,f
b,f,d,e
d,f,f,d
a,f,c,c
b,d,d,d
d,f,e,c
f,f,b,a
c,d,d,a
b,b,e,b
b,f,a,c
c,b,a,a
d,f,a,f
f,f,e,c
e,a,d,a
d,c,b,e
e,c,c,d
c,f,d,d
d,c,f,e
c,f,d,b
a,b,c,a
c,e,f,a
d,b,f,f
f,b,d,c
a,b,d,a
d,b,b,a
d,e,a,d
c,b,b,f
f,b,f,b
f,d,d,e
e,a,c,c
d,b,a,b
f,a,f,b
d,c,f,d
b,c,f,a
a,b,a,b
a,e,e,c
e,e,e,f
f,c,f,d
f,f,e,e
e,f,e,a
e,c,e,e
b,b,d,e
c,d,c,d
a,b,d,f
b,b,f,d
e,a,d,f
a,a,b,e
a,c,a,d
d,f,b,c
c,d,b,d
a,b,f,f
e,b,f,e
e,c,f,f
b,a,f,c
f,a,c,f
a,d,a,d
e,d,a,f
b,f,f,e
f,e,c,a
a,a,f,e
b,b,d,e
c,a,c,f
a,f,f,d
e,d,d,a
e,e,b,c
e,a,d,f
e,a,c,b
a,c,e,d
a,a,f,d
b,c,e,b
e,a,e,f
b,d,b,d
e,a,f,e
a,a,f,c
f,d,d,d
f,a,d,d
f,e,d,b
e,d,d,d
d,f,a,c
b,c,b,e
f,b,d,d
e,c,f,b
f,d,d,f
d,e,d,f
f,c,c,c
a,c,c,a
f,c,d,d
a,b,a,b
b,e,a,e
b,b,c,d
f,a,e,d
b,f,f,d
f,f,c,d
d,e,a,e
c,c,f,e
a,a,f,d
