var_1,var_2,var_3,var_4,var_5
e,a,b,f,b
a,e,c,b,c
c,e,f,d,a
f,c,e,f,f
f,f,d,b,c
f,f,a,b,f
b,e,d,b,f
d,e,d,f,e
b,a,c,a,d
c,b,a,d,c
a,a,c,b,f
f,b,a,e,c
f,a,b,a,d
c,c,e,a,c
b,d,a,a,e
c,e,e,c,a
a,c,b,d,d
c,c,c,a,f
b,e,c,f,f
b,d,d,b,e
f,f,b,f,a
c,b,a,b,a
b,c,b,c,c
a,c,c,c,b
f,a,f,d,a
f,a,b,a,e
f,d,d,f,e
f,d,d,f,c
f,f,c,e,c
d,b,c,b,c
a,f,b,a,d
c,c,a,b,d
e,d,d,b,f
a,e,e,b,b
b,b,c,a,c
d,d,f,d,e
b,d,b,c,e
e,a,a,a,f
b,b,f,f,e
f,e,c,e,b
e,d,e,e,f
d,a,d,b,c
b,e,d,f,b
b,c,e,e,a
e,a,a,a,e
a,e,b,a,d
c,d,f,c,e
e,d,e,f,a
c,f,e,d,e
a,a,e,b,c
e,c,d,a,b
f,a,a,c,f
f,d,f,f,a
b,b,d,e,d
e,d,a,f,c
f,a,e,a,d
d,f,f,d,e
f,c,d,b,b
f,d,d,e,e
a,f,f,f,e
c,f,e,a,b
d,f,f,d,b
b,d,d,b,f
c,b,e,c,b
c,a,d,e,c
a,e,c,a,b
f,a,f,d,e
b,f,a,d,c
e,d,c,c,f
b,a,c,d,d
d,c,a,a,d
b,d,c,a,e
b,b,a,f,a
d,e,c,e,f
d,c,d,c,a
f,a,e,e,b
f,d,a,d,e
a,f,d,b,f
f,c,c,c,d
a,e,d,b,c
d,f,a,b,b
f,b,a,f,a
b,a,c,c,b
b,d,c,c,b
c,f,a,b,a
e,e,c,a,b
d,e,f,f,a
e,d,b,a,e
d,d,b,a,a
f,d,b,c,f
e,c,a,d,f
d,c,d,b,b
d,b,c,d,d
e,b,d,f,c
a,c,e,b,e
b,d,c,d,d
b,c,d,b,c
e,c,e,e,d
d,a,e,b,f
f,b,c,a,c
f,d,c,b,f
e,b,b,c,d
b,c,e,a,f
d,a,d,b,f
f,c,f,a,d
a,a,c,f,e
f,b,b,a,f
f,c,e,c,d
e,c,b,b,a
d,e,c,a,a
d,f,f,f,a
e,b,e,a,a
c,e,a,f,f
c,e,f,f,c
f,d,d,e,d
d,d,a,e,f
f,d,a,d,d
d,f,c,c,a
d,d,d,f,c
b,d,f,d,b
c,f,a,a,b
b,a,c,c,f
c,b,c,c,f
c,d,e,f,b
d,a,b,e,f
c,d,f,a,a
f,e,f,d,b
a,f,b,d,a
c,f,d,d,c
e,b,d,a,f
a,b,d,b,e
c,a,f,c,b
c,e,d,e,a
f,f,b,b,b
d,a,d,b,a
a,f,f,d,a
d,d,f,d,e
a,c,c,d,e
c,f,f,f,b
d,b,f,b,f
d,c,d,d,c
c,b,a,d,a
b,e,f,b,c
c,f,c,c,c
f,b,a,e,e
e,a,b,a,e
d,b,d,d,d
b,b,c,f,c
c,d,f,c,f
d,d,a,f,e
d,d,c,b,b
a,c,e,f,f
a,b,e,e,a
a,c,d,b,a
c,b,e,c,e
a,d,d,e,b
d,c,d,b,e
e,e,c,a,c
a,a,e,e,b
d,b,b,c,d
f,d,a,e,c
d,b,a,b,e
b,e,d,d,e
a,f,b,f,c
d,a,b,c,c
f,c,e,a,a
a,b,a,a,b
c,e,b,e,f
f,c,f,f,e
e,c,e,b,f
f,a,e,a,a
a,c,c,a,a
c,c,f,e,f
e,e,f,a,f
d,f,a,c,b
a,a,b,e,c
a,c,a,c,a
d,d,b,d,a
f,d,b,c,b
c,f,d,c,f
d,f,c,a,c
b,a,a,b,c
f,d,d,f,e
f,e,b,b,b
c,e,b,f,f
f,a,b,c,b
f,b,b,b,e
a,f,b,b,f
b,f,b,d,f
f,c,f,e,a
b,e,b,b,f
d,a,e,a,f
f,e,e,a,d
b,c,f,e,a
d,b,a,a,a
c,c,b,d,a
f,a,a,c,c
b,e,d,d,d
e,b,a,d,d
a,e,a,e,a
b,d,e,a,a
b,b,c,a,b
e,d,b,e,c
e,b,d,e,e
c,d,b,d,d
e,d,f,b,a
f,e,e,e,b
a,d,c,f,d
f,d,e,d,e
d,b,f,e,a
e,d,c,a,f
b,a,a,d,b
b,e,b,d,b
e,f,d,c,b
c,d,c,f,a
b,b,d,c,b
b,d,f,e,d
a,e,d,d,e
f,f,c,d,e
e,e,e,c,c
b,e,e,c,a
a,a,c,a,b
d,b,c,e,a
d,b,b,f,c
d,a,d,e,e
e,f,b,a,c
f,e,d,c,b
c,d,b,a,d
f,d,a,a,a
b,a,a,a,b
d,e,e,e,b
e,b,f,b,e
e,d,b,b,d
e,f,a,e,c
f,c,d,a,a
f,b,f,a,a
d,e,a,a,d
a,e,b,c,b
e,e,d,c,e
c,f,a,d,f
c,d,a,e,e
e,f,f,c,f
c,b,c,a,b
b,f,c,a,d
e,e,f,d,b
c,a,d,a,e
b,e,b,a,f
d,d,c,a,c
e,a,e,f,c
a,d,b,b,b
a,b,c,b,d
c,e,e,e,d
f,b,c,c,a
b,a,c,d,b
f,c,d,a,b
b,f,d,f,c
f,e,a,a,b
c,b,f,b,e
f,e,e,c,d
f,b,d,d,c
b,e,d,d,b
c,b,a,c,c
d,e,e,b,f
d,f,a,d,f
f,e,d,b,d
f,e,f,c,d
a,c,c,a,e
c,c,c,a,e
c,d,c,c,e
f,d,c,a,d
b,c,e,f,c
b,a,c,c,c
d,e,e,b,d
c,f,d,c,a
a,c,a,c,b
a,e,b,d,b
e,c,b,a,c
c,c,d,d,b
f,f,c,a,b
c,b,f,f,c
c,b,b,e,f
a,f,b,e,d
a,c,d,e,e
f,e,d,a,a
d,c,d,f,a
c,e,c,f,b
b,a,a,a,f
d,c,b,f,b
e,f,b,f,b
b,e,b,d,d
b,e,b,a,a
e,a,a,f,d
f,d,a,d,c
b,d,a,e,a
a,a,b,d,d
d,a,a,d,f
a,d,c,d,c
f,d,b,e,f
d,e,a,b,e
e,c,c,e,c
e,a,b,c,e
a,f,d,d,d
a,a,e,e,d
c,b,e,b,b
f,e,a,e,f
f,d,b,c,f
b,a,d,e,e
f,a,b,c,e
e,f,c,a,f
c,f,a,c,b
a,a,e,d,a
f,d,d,e,a
e,d,b,b,c
f,c,a,e,a
e,a,a,b,e
b,e,d,a,b
d,a,d,a,b
c,c,b,b,b
f,d,c,a,c
e,e,a,d,b
d,f,b,e,b
c,e,d,a,f
c,f,c,b,d
d,d,e,d,f
d,d,f,f,e
d,f,e,d,a
e,c,e,c,b
d,f,f,a,f
f,d,c,c,b
b,c,c,f,d
f,e,a,c,d
d,e,e,b,a
a,b,d,a,f
a,b,e,f,a
b,b,c,e,d
c,d,a,f,d
d,b,b,b,e
e,e,b,a,b
c,d,c,c,c
a,a,e,b,d
e,b,a,d,a
f,a,a,e,d
e,d,d,c,e
e,c,d,b,f
f,f,b,a,a
e,f,c,a,d
e,a,a,d,a
b,b,a,d,b
e,b,b,e,c
c,f,d,e,c
a,d,d,a,e
e,d,a,a,f
a,d,c,a,f
f,f,d,e,b
b,f,f,c,b
c,b,c,f,b
d,d,b,a,d
f,c,f,a,b
f,d,b,f,f
e,f,c,a,e
c,c,c,a,c
b,f,f,d,b
c,f,f,f,f
d,a,a,d,f
b,f,d,b,e
e,c,a,c,b
d,d,f,d,f
c,e,b,d,f
e,c,e,c,e
c,a,a,d,f
b,f,e,c,d
e,d,b,c,b
e,f,a,d,f
a,c,a,c,d
b,a,c,c,c
d,d,e,c,f
c,f,b,c,f
a,e,c,e,a
