var_1,var_2
m,g
h,i
b,a
a,d
b,e
o,a
m,f
j,i
a,g
k,e
l,g
b,o
b,e
m,f
f,h
d,i
a,b
a,k
m,o
a,d
f,c
k,f
j,m
h,k
j,f
h,l
c,f
b,i
c,h
l,c
b,f
n,h
a,o
i,n
h,m
o,b
d,o
b,f
k,e
i,i
o,i
h,g
b,i
j,j
k,c
b,d
i,i
j,k
a,d
e,b
n,g
i,h
b,h
k,k
e,m
h,e
n,f
f,g
e,a
d,a
k,b
o,i
d,d
h,j
o,k
i,b
k,n
a,a
i,e
b,n
a,d
f,a
c,j
l,m
h,d
k,i
g,a
c,h
a,j
b,a
j,e
h,c
c,f
b,d
i,n
d,n
c,d
a,f
o,h
f,c
m,c
b,m
i,m
c,g
k,h
e,g
h,g
a,o
g,l
e,c
k,k
m,a
a,f
c,o
e,m
c,c
e,i
n,f
c,j
m,i
n,o
h,e
a,n
j,n
g,f
m,j
f,e
h,k
f,o
j,e
n,b
h,o
h,o
a,d
m,m
o,j
h,d
n,m
n,o
j,l
o,j
c,k
h,a
l,c
m,c
i,c
n,j
h,b
e,l
e,e
b,g
m,c
c,h
g,n
g,j
m,o
b,b
i,a
b,m
n,e
n,j
h,e
g,l
n,g
n,k
k,j
e,l
k,b
d,o
f,c
b,g
l,d
l,i
m,d
c,e
j,h
o,i
e,k
c,l
n,j
n,e
l,b
f,a
m,e
m,h
h,f
l,l
b,e
b,b
g,j
d,j
a,i
o,n
e,k
m,l
a,e
d,j
i,l
n,f
b,e
m,c
o,e
l,l
f,l
e,b
h,f
b,i
j,k
e,j
n,f
b,h
l,g
g,l
d,l
b,f
g,c
d,j
l,a
o,n
o,f
h,k
i,n
d,l
n,c
m,e
f,b
o,l
n,m
d,f
i,f
o,h
l,k
g,o
c,n
j,n
d,o
e,a
a,j
n,l
f,a
i,l
c,n
h,c
o,i
m,e
i,f
h,a
f,c
c,a
c,m
a,o
j,g
c,d
o,e
c,c
n,i
i,e
b,h
l,o
f,b
c,b
a,f
k,j
k,d
a,g
k,m
b,d
m,h
m,b
c,d
o,c
d,n
a,l
g,h
g,h
l,h
f,e
d,g
n,o
k,e
g,d
o,a
n,h
o,d
e,b
i,n
k,c
o,d
e,i
g,n
f,m
k,g
j,i
n,f
c,b
n,c
i,a
b,h
m,g
e,h
e,b
g,f
g,a
n,h
j,n
e,d
i,m
b,m
l,h
g,k
e,l
d,b
e,i
l,e
n,m
j,g
g,h
a,i
f,d
o,l
n,l
h,n
d,k
m,a
h,e
c,e
g,b
e,a
a,c
b,e
h,c
g,b
e,i
g,m
n,g
k,o
n,k
h,f
c,a
g,o
k,g
h,f
c,l
e,a
j,n
f,a
k,g
j,k
f,n
d,o
c,n
i,e
o,h
j,k
h,c
m,n
k,f
h,n
k,e
a,b
m,e
m,o
l,l
h,e
k,f
m,g
b,e
a,e
f,l
m,a
h,e
b,k
o,d
c,b
o,j
o,o
o,n
j,o
f,o
f,f
m,o
m,h
e,l
e,c
k,f
k,c
j,b
f,o
j,o
e,g
j,l
d,k
i,i
n,o
l,k
e,m
b,f
i,o
l,a
j,f
d,n
f,a
i,k
f,g
o,o
f,e
h,k
e,j
b,m
m,h
i,d
j,j
j,g
i,f
b,e
n,d
d,l
e,i
f,g
c,m
n,h
a,n
g,n
a,g
k,e
a,h
d,b
k,j
c,l
f,n
i,e
f,j
g,h
o,g
i,b
o,k
b,m
n,d
m,o
e,d
e,m
l,h
h,k
o,f
j,k
d,c
f,g
i,n
b,k
k,o
o,i
m,n
a,g
k,f
j,m
f,n
n,m
j,e
d,m
c,n
h,k
h,b
k,o
k,h
c,g
o,i
i,b
j,c
j,k
b,a
c,i
i,h
n,o
d,m
l,h
c,d
o,g
i,d
m,e
i,c
l,g
m,j
g,h
n,n
n,d
f,h
c,h
l,c
i,m
j,m
i,n
j,c
j,c
n,h
h,l
a,k
f,h
b,f
o,j
f,g
m,j
n,a
k,d
g,b
o,h
a,h
j,b
j,i
b,f
f,f
d,a
j,b
m,g
d,l
f,m
i,d
l,f
m,g
g,a
j,n
h,j
a,k
a,k
h,d
m,h
b,e
n,i
e,e
g,c
o,c
f,i
c,c
h,i
k,o
m,f
k,d
d,l
l,j
m,j
a,l
n,i
l,e
f,h
j,g
f,c
g,f
c,o
b,a
k,d
a,g
d,c
m,o
d,h
n,k
j,m
j,d
i,i
l,b
c,d
i,i
c,h
k,f
o,a
e,e
k,k
l,m
a,f
o,b
j,f
h,j
f,c
j,o
l,o
f,b
e,k
g,c
g,d
m,d
f,n
d,a
e,g
a,f
o,d
f,h
j,m
e,o
b,e
i,b
j,g
a,g
n,l
d,m
i,a
j,n
j,d
f,l
i,i
c,n
f,l
e,d
f,i
n,j
o,f
e,j
l,b
l,f
k,i
c,b
h,m
o,g
c,i
o,m
a,c
i,n
l,g
g,h
d,n
d,c
h,h
e,l
n,c
n,b
l,m
c,o
f,o
l,i
j,e
n,a
n,l
g,m
i,h
h,n
m,g
j,k
j,n
h,e
n,c
h,b
i,b
h,n
l,c
l,d
m,g
l,g
f,h
j,b
b,d
l,j
k,i
i,n
n,c
g,c
n,b
j,d
c,l
b,k
m,e
h,a
h,b
b,h
i,f
i,c
c,m
m,f
m,k
e,e
d,i
l,m
b,b
f,l
g,o
e,c
l,k
i,o
f,m
g,o
i,j
n,c
d,o
j,b
h,i
k,m
o,j
k,b
o,f
h,o
f,d
h,n
o,m
i,l
b,i
i,i
m,i
h,o
b,h
b,i
d,c
c,n
j,h
o,h
f,c
c,b
g,b
e,f
l,n
o,f
d,i
e,e
a,j
c,e
k,c
f,l
j,m
b,e
a,o
