var_1,var_2,var_3,var_4
a,d,a,b
e,f,f,a
d,c,c,d
e,b,e,b
e,c,d,f
d,a,a,d
e,a,f,f
e,c,c,e
f,e,c,d
d,e,a,f
d,f,c,a
c,a,e,c
a,e,b,d
f,d,a,e
f,f,d,d
f,c,c,b
d,e,b,e
f,f,f,d
a,e,f,b
c,c,f,d
f,e,e,a
e,b,d,f
a,d,c,d
a,e,d,f
f,b,a,d
b,d,d,d
a,b,b,d
f,f,d,f
b,c,f,a
d,c,c,d
d,c,c,a
c,d,d,b
f,f,b,f
e,c,a,f
b,d,f,f
f,f,d,f
f,d,d,a
d,f,e,b
b,e,e,c
c,c,e,b
a,c,c,c
b,c,a,c
d,b,f,a
a,b,b,d
f,e,a,b
b,c,e,b
e,c,f,a
a,d,b,c
c,f,b,e
b,d,f,c
b,c,f,f
a,a,c,d
b,a,b,d
b,c,c,b
e,d,d,f
c,d,f,c
b,a,a,a
b,d,f,a
f,f,b,b
d,a,a,d
d,c,a,f
d,f,c,a
c,e,d,c
f,b,b,b
f,d,d,e
b,b,b,d
b,b,b,b
e,c,c,c
f,b,e,b
e,b,a,b
c,e,c,b
a,e,c,b
b,a,e,d
c,e,d,f
d,e,c,a
f,e,f,f
f,d,a,c
e,f,b,a
e,d,b,b
b,d,a,b
c,d,c,f
b,b,e,c
b,a,c,f
c,e,f,c
f,b,e,d
e,d,f,c
c,e,f,a
a,e,b,e
f,d,e,b
b,d,a,a
b,f,c,c
f,c,f,a
a,b,f,d
d,f,c,f
d,c,f,e
c,a,e,e
e,d,c,a
f,f,a,d
e,a,c,c
f,f,c,f
d,c,e,d
c,e,c,d
e,c,e,b
f,f,a,b
a,b,e,b
b,a,a,c
b,d,a,a
c,e,a,c
b,f,d,b
f,c,c,f
f,e,a,c
a,e,d,a
b,f,e,b
e,b,f,c
a,b,c,c
c,b,f,d
e,c,b,c
d,d,e,b
b,f,c,e
c,a,f,f
e,f,d,d
d,f,d,a
b,a,f,b
d,e,a,c
e,e,e,f
c,f,e,b
b,c,f,d
f,b,c,f
f,b,f,b
c,a,f,d
c,b,a,c
c,a,a,e
f,b,f,c
a,d,b,c
f,c,f,a
a,d,b,e
d,a,a,c
c,b,b,b
b,e,a,c
a,c,e,e
c,c,c,e
e,a,e,c
f,e,f,d
c,a,c,c
b,e,d,e
a,a,e,d
e,e,e,a
a,e,e,c
f,b,d,d
a,f,d,a
c,d,a,c
b,a,f,c
f,f,d,c
d,e,c,c
d,a,d,e
f,e,b,d
f,a,a,c
a,b,e,e
a,c,a,c
f,c,d,f
a,b,c,d
b,e,c,d
b,a,c,e
c,a,d,c
a,a,e,d
b,b,e,d
b,c,a,e
e,e,c,b
b,c,c,c
c,f,f,e
c,c,a,b
d,d,b,e
d,f,d,b
c,e,c,a
f,b,e,c
e,b,f,f
a,d,a,b
e,d,e,f
b,e,c,b
e,a,d,c
b,d,c,c
b,a,a,b
e,b,e,f
f,a,c,b
c,d,a,e
c,b,e,c
d,e,b,e
b,c,b,a
c,e,a,c
e,f,d,e
d,a,b,d
c,b,a,e
b,c,a,b
a,a,f,e
e,b,c,e
b,a,a,d
c,e,e,d
f,c,f,e
b,e,c,c
b,a,c,e
c,e,a,f
b,a,d,f
d,d,b,a
f,e,a,f
f,c,b,f
e,e,b,b
f,f,a,a
b,f,d,c
c,a,b,d
a,e,f,c
c,a,f,e
b,a,e,d
e,f,c,e
e,c,f,b
b,a,b,c
b,c,b,d
d,a,d,d
e,b,d,c
b,b,b,b
b,b,c,d
f,a,f,d
f,c,d,f
b,a,a,e
d,b,c,a
c,f,f,f
a,a,c,c
a,d,e,b
b,f,b,e
a,a,f,e
c,e,e,b
c,c,c,a
e,a,d,a
c,c,a,c
d,d,d,c
d,c,e,d
c,b,a,b
c,a,c,d
b,c,c,b
b,d,a,d
b,c,d,b
c,e,d,b
c,a,f,e
a,e,b,b
d,a,f,f
f,c,f,c
c,e,c,c
d,b,d,f
b,c,a,e
c,f,d,d
f,a,b,d
b,a,c,c
e,e,f,e
e,f,c,a
d,e,b,b
d,c,b,d
c,b,f,e
e,a,e,e
a,f,a,a
