var_1,var_2
a,e
c,c
e,d
e,f
f,b
c,b
f,b
e,a
b,f
b,d
c,a
d,c
d,e
a,a
a,d
f,b
c,e
a,a
e,f
c,e
b,c
a,d
c,f
b,a
a,c
d,b
b,e
f,f
d,a
f,b
e,e
f,f
c,a
a,e
e,e
c,a
b,c
d,f
d,c
a,e
d,d
e,c
a,c
d,d
b,e
a,e
d,f
e,b
a,f
d,f
f,a
b,e
a,d
c,d
f,e
b,f
c,f
e,a
b,e
d,c
e,a
f,e
e,c
b,d
d,f
a,f
a,e
b,d
b,b
b,b
c,f
b,f
d,f
d,a
e,a
c,a
c,b
b,b
a,e
a,d
e,a
f,b
f,d
d,d
b,d
f,e
b,b
f,e
f,e
c,a
e,e
e,b
d,a
b,e
d,b
c,e
a,e
b,c
e,a
a,a
a,d
d,e
a,e
b,e
e,d
f,d
b,e
c,d
e,c
c,c
a,b
f,c
f,c
c,d
f,e
d,d
a,c
f,c
f,d
a,d
e,e
c,b
f,d
a,f
e,f
e,a
f,b
d,a
b,f
b,e
e,f
f,f
c,f
b,a
f,e
c,c
e,c
f,b
f,a
b,d
c,e
f,a
f,f
d,e
b,e
c,b
a,c
d,b
c,a
b,a
b,c
f,a
b,b
b,b
f,f
a,c
a,f
e,e
a,f
e,a
f,b
f,f
f,a
d,a
c,c
c,c
c,b
f,f
c,c
b,a
d,c
c,d
c,b
c,c
f,a
f,c
f,c
a,d
f,f
f,f
a,a
a,a
a,b
b,c
f,c
e,d
e,b
e,f
d,b
c,f
d,c
e,e
a,e
a,b
a,c
b,c
d,c
b,f
b,c
b,c
a,d
a,a
e,f
b,a
d,f
c,b
d,e
c,a
f,f
e,c
d,a
c,a
e,d
d,a
e,f
f,c
c,a
f,d
a,f
b,a
d,e
d,f
c,c
b,c
f,c
a,f
b,b
a,b
b,a
c,e
b,b
d,a
d,c
c,a
a,f
e,d
b,c
f,a
e,d
e,c
d,e
e,b
e,e
b,c
f,f
e,a
f,f
a,a
e,c
a,c
d,b
c,a
d,c
d,f
a,c
f,a
a,a
c,e
e,e
e,c
a,c
b,f
a,d
c,c
a,d
f,b
c,e
b,a
e,f
d,a
f,c
a,c
c,f
c,c
d,e
b,d
d,b
a,a
f,e
e,b
a,c
f,e
a,e
b,b
b,b
a,c
a,d
f,c
f,f
b,a
b,b
f,b
a,b
d,c
f,a
c,c
b,f
f,f
b,b
d,a
e,b
a,d
a,b
e,a
b,e
a,d
d,d
f,b
a,b
a,c
e,b
f,e
d,d
e,e
d,c
c,a
c,a
b,a
a,e
f,e
e,b
b,a
b,c
c,a
a,b
a,f
b,c
c,c
b,a
b,d
b,e
e,b
d,b
d,f
c,e
c,f
f,e
e,b
d,a
e,c
f,d
b,b
e,d
f,e
b,f
a,d
e,e
b,d
b,d
e,d
a,a
b,b
f,c
d,c
f,c
b,b
b,f
e,b
e,d
e,f
b,e
a,d
f,b
a,e
d,f
a,a
e,b
d,d
c,e
c,f
d,b
a,c
f,a
b,e
e,b
a,b
a,f
d,b
a,a
b,a
e,b
b,b
d,c
d,b
c,b
a,d
d,a
c,e
f,c
c,c
c,f
b,e
a,b
a,b
a,c
a,b
b,f
e,d
b,b
b,f
d,b
b,e
f,f
b,f
c,f
d,e
f,d
d,e
b,f
f,f
e,c
a,f
e,c
d,e
d,c
b,f
c,b
f,f
b,e
f,a
f,b
b,a
d,d
f,b
f,c
c,e
d,c
a,e
c,f
d,d
c,b
b,d
e,a
e,a
f,a
f,c
f,e
a,a
f,c
f,f
f,f
f,a
b,e
d,e
e,a
f,c
e,e
e,a
b,e
d,b
c,e
a,f
b,a
d,c
d,b
b,a
a,f
b,f
c,e
c,c
a,b
f,a
f,e
c,e
d,e
d,c
f,f
e,c
f,f
c,c
a,d
f,a
c,b
c,c
a,d
e,e
e,f
b,e
d,c
e,a
a,a
f,f
b,e
f,e
a,d
f,e
a,b
e,a
f,f
d,d
a,d
d,b
b,b
b,f
d,a
d,f
f,f
f,b
a,a
a,d
c,a
a,c
e,f
c,c
b,d
b,d
c,b
e,c
b,a
f,e
a,b
b,e
a,f
e,d
e,c
f,f
d,a
c,b
d,e
e,c
d,f
b,c
e,b
b,f
b,e
d,c
e,b
a,c
f,b
c,a
a,a
a,b
e,e
d,f
a,c
a,a
e,e
b,f
c,d
c,b
c,c
a,b
b,d
f,e
a,d
c,c
f,a
c,a
b,b
a,f
e,d
d,d
a,c
e,f
d,c
e,c
c,f
a,c
b,a
d,f
d,e
e,b
d,f
f,e
d,a
e,f
