var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
c,c,r,o,e,d,s,f,m,q,s,b,m,o,i,b,r,a,k,a,j,t,e,p,r,a,d,b,n,h,g,m,a,o,b,i,p,a,n,m,f,s,r,o,k,i,q,n,m,i
s,s,n,r,l,q,d,c,r,s,e,b,t,g,a,l,i,j,d,l,n,l,o,c,e,i,e,m,i,j,m,n,e,o,k,j,p,c,b,c,n,l,m,a,d,g,d,d,b,l
m,h,m,o,j,e,q,j,m,f,n,c,s,g,r,h,m,p,b,s,i,k,f,o,c,d,f,g,d,r,e,t,c,j,l,b,f,o,l,f,a,e,j,g,d,o,g,c,k,e
g,s,l,b,s,g,i,d,h,s,e,o,s,d,q,a,c,m,r,d,l,q,r,g,q,q,o,o,a,n,d,r,c,g,c,e,c,t,g,q,j,m,d,c,d,k,q,c,o,n
c,o,r,q,r,e,i,h,m,d,p,r,j,s,j,a,c,i,c,q,f,d,b,n,l,c,k,m,m,g,a,t,m,t,e,l,q,f,o,t,i,g,a,m,t,q,r,r,i,d
c,f,d,q,t,e,m,m,c,e,t,s,b,o,p,p,f,b,t,n,a,a,e,g,m,i,m,s,e,p,e,j,d,l,m,e,t,h,j,c,k,k,d,m,j,c,d,a,e,f
f,i,g,f,l,k,t,i,a,i,p,l,q,k,s,i,d,t,r,h,d,k,c,n,i,h,s,e,j,d,s,p,o,a,t,a,i,s,o,n,g,i,i,b,r,q,s,s,k,t
h,e,t,g,d,a,b,m,k,a,i,e,g,n,a,a,l,b,t,r,m,s,o,m,q,f,p,p,k,s,n,n,n,o,s,s,s,c,i,h,d,j,l,o,d,n,k,t,o,h
b,p,c,j,l,t,f,b,g,d,q,b,a,p,k,r,i,s,t,q,h,d,s,c,f,p,d,s,j,e,n,r,n,g,j,e,r,s,q,e,l,k,j,r,i,r,a,b,i,e
m,g,h,e,o,k,s,n,j,i,i,r,q,n,b,j,p,o,k,n,b,q,o,l,p,j,s,c,l,p,n,b,q,i,c,f,e,a,k,l,e,a,f,g,d,m,m,s,m,o
