var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
k,h,g,h,f,j,j,c,o,n,l,n,o,b,i,b,c,e,b,g,o,a,c,n,h,d,k,g,l,f,j,m,i,c,n,h,c,d,h,b,d,e,e,f,n,h,d,e,d,j
f,l,c,m,e,e,o,k,o,a,i,e,k,l,a,m,a,c,d,h,l,h,f,n,g,c,f,n,h,k,c,f,f,m,h,h,b,o,j,e,i,d,h,k,m,l,d,j,g,a
i,i,f,i,m,g,c,n,i,g,m,a,g,h,i,c,e,o,l,b,k,b,i,d,h,n,k,c,b,i,g,c,a,l,n,d,f,e,e,h,b,m,c,d,i,h,b,a,g,c
g,b,j,d,g,a,b,l,f,a,d,n,f,j,g,a,a,f,f,h,b,h,n,e,i,g,o,k,i,e,h,d,e,m,k,b,e,g,j,o,d,b,j,h,j,a,n,d,e,f
n,e,j,b,c,h,o,j,b,g,k,g,l,g,m,l,f,l,g,g,m,o,k,n,k,i,d,k,d,d,c,a,j,f,e,j,l,c,h,l,i,g,d,n,i,a,l,g,m,e
m,k,b,g,j,g,g,m,a,n,i,o,f,h,f,c,f,e,m,h,m,k,g,k,o,a,l,k,j,e,g,o,m,h,h,g,e,l,i,m,j,b,j,n,d,n,e,j,c,c
f,b,n,g,k,b,d,i,c,h,h,a,h,m,f,n,j,e,j,i,g,g,d,e,k,l,b,a,g,i,n,n,o,k,a,e,h,e,d,g,m,n,g,j,d,h,e,l,a,a
b,c,k,e,o,b,d,e,k,i,i,o,d,a,j,j,n,i,h,j,o,f,f,l,n,k,j,i,l,n,o,b,n,j,k,n,g,l,n,o,l,d,a,a,g,i,o,k,d,b
a,b,f,e,c,h,l,k,e,a,f,l,h,i,h,k,a,d,o,n,k,n,n,e,k,e,c,j,d,b,e,f,i,l,b,b,n,f,o,l,g,c,n,c,d,i,i,m,k,j
b,h,f,o,h,n,h,d,n,g,j,k,b,k,m,d,h,h,d,g,l,k,b,b,j,n,h,k,e,b,k,n,n,k,m,o,l,b,b,j,n,h,e,j,f,g,a,b,i,o
f,m,n,f,c,d,f,j,b,a,m,c,e,h,c,m,n,j,h,g,f,d,a,h,d,m,l,m,o,n,b,n,b,c,k,c,d,m,b,a,j,f,a,g,g,i,a,a,h,f
h,c,o,i,k,j,i,o,m,i,i,b,h,c,n,j,h,e,k,i,h,e,e,k,n,d,i,c,b,n,d,n,k,a,f,g,g,o,a,i,f,k,f,e,f,o,e,d,b,n
b,n,m,l,m,l,a,o,m,a,h,g,c,k,m,n,d,e,f,a,d,m,k,n,h,f,o,n,l,d,d,a,g,c,k,b,k,j,m,o,m,k,c,c,m,f,f,m,n,o
b,f,i,b,e,f,i,k,b,h,m,b,d,n,h,e,c,k,a,i,h,a,i,n,m,n,e,k,g,e,l,d,n,e,m,b,c,i,e,j,o,l,k,f,l,o,h,c,m,l
k,n,f,f,l,g,b,n,k,f,e,l,d,o,g,k,o,n,a,i,n,j,i,f,l,n,k,g,j,l,m,f,b,g,n,k,g,g,i,i,d,e,g,g,h,g,i,j,c,h
o,e,e,h,l,o,c,c,i,h,d,a,f,o,j,o,h,i,f,f,k,c,i,d,h,j,n,g,g,c,a,a,f,g,f,e,h,i,f,i,h,b,l,j,d,g,i,k,g,e
j,c,h,i,a,b,g,f,h,a,f,h,b,o,c,e,i,n,a,e,e,i,a,g,o,g,l,k,j,j,j,m,f,m,o,d,a,d,h,c,k,j,d,e,e,b,i,e,f,c
d,a,i,c,n,m,j,c,j,n,h,j,e,k,k,i,f,o,d,k,k,o,b,i,k,d,c,o,n,h,k,j,m,i,d,e,d,o,i,n,k,o,n,l,l,k,c,g,g,g
i,a,i,n,d,b,h,j,d,d,f,c,b,b,k,h,a,g,b,n,k,l,j,o,n,h,g,m,j,l,h,a,a,c,c,f,m,g,j,n,h,g,j,k,n,o,b,o,c,g
d,g,i,i,m,f,m,b,e,f,f,m,g,m,f,i,o,d,i,g,h,k,m,o,b,f,f,c,k,e,d,o,j,j,e,d,e,c,m,e,k,e,d,a,o,o,g,g,h,g
h,e,j,g,a,l,h,h,l,e,g,j,n,n,j,g,k,d,d,m,k,f,n,e,b,c,l,g,a,h,f,l,k,f,f,e,l,a,n,g,c,d,l,f,i,e,c,o,a,e
g,g,o,f,b,b,f,h,a,n,j,l,o,e,g,c,b,n,m,f,f,d,h,o,h,e,n,e,g,l,h,c,d,d,g,e,f,d,e,e,c,n,c,k,f,m,b,o,i,e
k,n,i,o,a,n,b,g,j,a,h,i,b,b,k,d,f,h,l,g,d,m,i,n,k,g,i,n,i,k,i,d,d,c,m,k,d,d,m,a,k,c,k,j,h,h,e,g,l,m
e,c,i,k,g,a,h,f,d,e,k,f,f,k,k,h,j,l,h,n,o,k,d,b,l,l,f,g,c,i,l,j,m,c,b,i,d,m,b,g,g,e,n,a,j,e,i,e,f,a
j,h,j,f,f,a,n,e,c,a,g,b,m,e,h,h,f,o,j,k,n,k,l,l,f,e,k,o,o,i,b,m,n,l,o,e,f,l,l,i,l,c,i,n,a,j,h,f,c,g
j,b,b,k,k,b,g,d,j,a,a,n,m,m,l,n,f,g,f,h,f,g,i,k,i,e,j,l,e,k,b,a,k,e,l,a,f,n,j,k,o,c,c,b,e,g,i,e,i,m
f,m,k,e,j,m,j,m,i,j,d,e,g,o,g,h,a,e,l,m,g,b,a,n,l,b,l,g,g,n,g,d,h,n,b,m,i,h,b,k,f,m,b,l,e,k,i,c,i,l
o,g,b,f,c,l,f,m,k,g,o,n,e,l,i,f,f,o,c,c,m,m,k,n,d,n,m,f,e,h,a,k,l,e,n,j,f,c,a,f,o,e,g,f,f,e,g,b,d,o
o,l,o,k,f,c,j,l,e,b,o,f,c,o,j,d,m,l,m,h,k,c,m,e,h,n,a,o,a,n,i,a,n,e,d,n,h,k,o,i,k,h,l,e,o,f,j,e,e,g
g,n,c,f,i,j,a,j,i,c,o,h,o,c,c,n,n,l,h,k,n,n,h,n,k,g,k,b,a,i,i,c,i,g,i,j,l,h,a,n,b,d,g,j,a,i,h,l,h,i
o,n,n,k,f,m,a,m,g,c,i,a,e,e,j,h,j,d,c,b,m,e,g,c,l,c,l,e,n,c,l,b,b,j,m,k,c,n,c,e,k,k,b,k,b,n,l,o,d,d
f,j,j,j,d,e,l,h,h,j,m,d,l,j,l,a,n,e,d,g,i,j,c,l,g,n,i,i,b,b,g,k,f,j,a,n,m,j,i,d,o,h,i,n,i,g,h,f,d,i
j,j,l,g,k,l,c,n,l,m,a,d,a,j,b,c,f,a,g,k,m,m,n,d,l,l,h,i,d,a,d,f,l,d,g,f,b,a,g,a,b,c,a,j,i,h,g,h,k,b
n,k,k,e,b,a,e,a,j,g,d,h,g,b,c,d,o,f,i,g,i,m,i,a,k,l,a,m,k,k,a,k,m,k,o,b,l,b,a,g,a,i,h,f,j,m,i,b,h,b
i,h,k,m,d,e,i,k,b,o,e,j,g,b,c,l,a,n,e,j,f,f,c,g,a,l,m,o,b,n,n,d,f,a,m,d,j,i,h,c,l,b,d,d,a,a,m,e,c,b
o,i,l,h,o,g,i,h,l,b,f,h,h,m,l,c,e,g,h,n,j,b,i,i,e,c,n,j,a,b,i,n,l,m,b,h,c,e,e,f,g,k,o,a,k,d,m,d,f,n
o,b,c,d,c,o,e,k,h,h,d,n,a,b,d,b,h,m,i,o,j,l,n,g,i,k,i,b,a,o,m,n,d,f,i,k,g,j,b,n,c,g,j,j,k,e,b,i,h,g
n,l,f,c,a,n,k,k,a,b,o,f,d,h,n,i,n,k,e,c,l,a,e,m,i,g,e,d,a,o,f,k,c,a,f,d,i,o,b,b,i,f,k,b,e,j,n,d,m,m
f,a,g,j,l,h,a,l,m,n,k,n,k,o,h,i,m,o,n,h,h,g,f,a,b,b,f,c,g,i,n,e,d,k,k,m,i,e,f,o,b,a,d,c,m,n,n,k,l,f
h,b,o,g,k,e,n,l,f,l,m,d,b,i,c,g,m,f,i,d,g,m,k,e,k,g,d,a,i,d,d,m,a,m,c,k,h,c,j,n,g,m,b,a,n,j,o,e,i,j
g,i,f,o,e,e,a,n,g,n,g,a,d,d,k,d,d,e,a,e,a,e,g,n,c,d,i,b,k,f,k,m,g,c,o,e,h,l,f,m,l,h,d,m,g,m,a,l,g,b
b,k,h,i,f,j,d,e,c,e,e,b,d,l,a,f,h,m,k,f,l,g,i,g,c,o,d,m,h,d,b,o,e,a,e,k,m,j,m,c,k,h,o,l,i,j,e,a,o,l
o,l,j,f,g,d,b,j,b,f,k,j,j,m,m,o,d,o,h,a,h,c,j,a,l,d,h,c,l,c,c,l,b,n,k,b,f,h,i,i,m,h,j,k,o,b,n,d,c,o
g,d,i,g,f,l,j,n,k,m,i,d,o,d,g,f,d,e,e,m,n,h,k,o,b,o,e,n,o,c,j,h,g,o,o,g,o,n,g,c,b,b,j,n,n,k,e,f,e,n
d,b,g,j,m,h,f,a,e,g,b,b,l,l,l,g,l,c,f,f,a,f,h,c,k,a,i,i,m,d,a,f,n,o,h,f,n,n,k,c,o,g,j,j,n,d,l,j,e,o
e,i,m,n,d,c,m,m,h,d,o,i,a,d,b,j,a,h,h,e,j,e,n,a,e,f,j,o,l,o,b,m,n,d,a,h,h,e,g,a,a,l,m,j,c,m,e,k,f,f
c,k,n,i,l,k,e,l,e,i,m,e,d,b,f,b,f,b,j,b,h,l,k,e,j,i,n,j,k,g,b,n,k,e,d,b,e,o,b,i,l,h,o,k,n,e,j,e,f,h
e,h,n,g,g,a,g,g,a,e,l,f,j,d,g,n,c,n,n,n,g,m,m,j,g,a,n,a,i,m,d,o,g,g,d,o,f,o,g,k,n,k,h,l,g,o,o,h,i,b
f,n,k,k,d,b,j,a,f,d,m,l,f,l,g,c,n,b,d,b,m,c,o,g,o,a,h,n,b,i,n,e,i,l,g,c,o,n,j,g,i,j,h,b,m,a,a,l,a,b
i,d,m,l,o,o,g,a,g,o,h,o,c,d,k,n,g,g,c,m,k,h,d,e,j,c,g,j,c,e,n,k,b,i,k,k,n,d,a,m,a,j,i,a,k,o,n,g,g,e
h,n,k,h,h,o,b,a,d,e,c,g,h,o,c,n,k,a,j,b,l,l,b,o,m,n,o,h,a,n,j,b,c,m,e,l,b,a,j,e,i,e,o,h,f,l,h,a,j,f
l,a,m,f,g,g,b,h,a,n,j,d,a,l,l,i,d,e,a,a,b,n,i,c,l,m,h,a,b,e,m,k,h,m,c,l,a,g,a,k,e,c,j,m,e,i,d,o,o,e
d,l,j,o,j,h,g,i,f,c,h,c,l,n,o,f,j,b,f,k,b,e,l,j,f,f,c,i,k,h,b,d,o,o,h,j,i,j,a,g,b,k,h,d,d,a,f,n,b,a
