var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
m,s,g,c,b,l,n,l,m,h,b,o,t,d,n,g,e,n,m,q,s,s,g,h,r,q,h,o,d,t,o,s,d,l,t,r,b,t,h,h,d,r,d,m,e,e,p,b,r,d
t,h,s,h,p,c,k,d,d,c,l,k,b,m,b,i,n,f,i,q,n,l,o,g,d,i,p,j,k,h,j,d,m,h,a,i,j,s,e,i,m,a,a,t,p,b,h,d,d,r
e,l,s,p,d,m,o,q,f,q,p,r,r,n,e,p,g,h,f,q,h,k,j,n,r,s,k,k,l,e,m,p,f,d,d,p,f,j,i,d,k,s,d,i,m,c,b,n,m,n
i,l,r,j,l,h,b,r,g,f,i,j,q,s,l,n,t,o,d,a,a,m,c,s,r,b,k,o,s,j,k,s,f,n,n,c,e,q,i,t,d,b,e,b,s,r,n,s,c,g
e,l,t,t,j,h,l,g,g,n,e,m,n,r,e,j,a,o,k,a,j,c,m,r,m,j,f,q,b,k,h,a,j,p,f,i,r,e,a,q,g,e,n,a,l,f,t,o,c,m
f,a,l,f,l,o,c,t,m,e,h,t,q,o,l,i,e,p,k,m,o,n,n,q,d,h,p,h,k,c,g,h,n,d,s,i,d,g,g,s,q,g,e,t,a,l,f,t,c,d
n,e,f,g,r,c,k,t,n,m,p,c,g,g,e,i,i,e,i,p,n,s,n,t,i,f,g,d,s,r,k,h,r,k,m,a,q,h,b,s,e,q,s,h,l,f,f,g,q,e
k,k,n,i,i,o,j,i,r,s,m,k,l,s,e,s,r,i,b,m,p,c,e,f,d,r,i,c,c,f,k,d,k,f,p,d,h,f,q,e,r,s,m,o,p,f,d,g,f,e
o,r,r,g,e,i,h,k,k,d,t,c,g,k,g,h,q,i,l,d,b,e,t,m,o,c,m,r,m,k,m,p,r,e,d,t,d,p,t,d,n,s,c,q,d,n,j,k,h,o
d,j,q,b,g,e,b,o,d,k,l,f,h,j,f,s,p,m,i,o,h,m,k,c,f,b,m,a,t,b,h,a,j,e,t,j,a,b,g,l,g,d,h,h,j,h,l,g,e,k
d,o,n,g,m,c,n,k,j,n,q,c,f,o,d,a,s,f,a,f,q,p,i,r,t,k,n,c,r,p,j,s,f,s,h,s,k,p,l,c,r,l,c,b,r,d,d,l,a,e
o,f,t,r,q,m,k,m,t,c,d,b,c,p,h,h,q,s,r,c,i,o,n,i,f,h,g,a,l,h,m,g,a,s,l,p,o,a,d,i,g,d,c,e,i,p,a,d,b,g
j,s,p,h,n,l,g,r,c,i,n,k,l,b,f,d,m,m,r,r,q,o,t,q,g,s,q,f,p,e,i,n,f,r,i,l,f,i,o,l,r,q,b,d,p,q,t,h,m,o
q,m,e,t,b,b,r,o,p,s,c,r,p,t,l,g,e,i,r,m,b,d,g,s,f,o,q,l,s,i,l,s,f,q,g,h,c,b,n,n,m,a,m,h,p,b,k,r,b,t
