var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
j,c,i,c,a,m,m,j,c,d,b,i,n,l,j,d,i,k,l,g,c,l,h,c,j,b,h,l,f,f,e,d,l,o,j,d,a,n,f,g,o,n,i,j,g,o,e,c,d,g
k,a,h,h,h,f,k,a,a,f,i,l,b,i,j,l,a,k,e,j,j,j,j,i,f,g,f,g,n,k,i,f,i,n,m,h,c,h,h,b,e,a,g,m,g,g,d,b,b,g
f,m,n,i,d,k,o,n,b,i,n,o,n,f,m,f,n,m,i,h,k,o,n,l,o,k,k,g,n,n,a,g,m,o,d,d,d,m,l,f,b,e,h,e,i,m,h,b,h,e
o,k,b,m,i,g,g,a,f,k,h,l,e,m,h,l,j,j,f,g,i,k,d,j,l,i,d,i,g,g,d,a,f,o,n,o,l,e,d,j,f,h,j,e,i,e,g,o,c,a
j,d,e,b,h,f,d,k,k,l,c,d,c,h,g,a,i,e,l,c,o,h,j,n,j,a,k,h,j,a,l,f,o,f,f,n,m,i,l,o,j,b,f,h,o,d,c,e,j,d
h,i,m,m,b,j,m,j,f,a,a,i,o,f,l,j,l,o,f,e,g,l,o,j,c,i,j,j,n,k,m,j,f,b,d,m,n,a,j,c,h,h,h,e,a,k,i,h,e,j
c,m,g,h,j,c,i,l,j,n,e,d,f,o,j,n,l,f,i,e,b,j,d,j,e,l,h,o,d,g,a,g,n,f,c,o,n,h,l,j,a,d,d,i,d,g,n,b,o,i
k,c,k,e,i,o,c,e,i,n,f,f,b,h,a,a,c,c,b,e,m,j,f,j,b,j,b,d,b,a,e,e,d,b,i,n,c,c,j,k,g,h,f,a,k,f,c,b,g,h
a,o,c,g,h,a,e,h,h,j,m,i,b,f,m,d,h,n,n,o,f,i,f,b,l,i,a,a,i,k,n,i,n,d,a,g,o,o,j,k,b,l,g,m,e,n,e,k,h,k
a,h,n,d,h,b,h,k,o,l,k,f,e,c,g,o,o,l,a,a,b,e,g,h,i,b,e,l,l,j,i,n,d,g,c,k,e,g,a,l,n,a,h,g,o,l,f,e,e,c
n,g,f,d,m,b,g,c,f,d,m,h,j,i,o,f,i,o,n,i,h,a,c,i,j,d,i,d,d,i,n,n,l,o,m,n,m,h,l,n,f,l,j,k,d,d,i,g,m,g
d,d,l,n,c,e,l,e,i,b,j,e,n,d,a,n,m,b,a,g,g,f,e,n,h,l,j,a,k,f,a,l,b,g,k,n,c,b,g,b,m,i,g,g,o,n,f,a,j,h
h,h,k,l,f,f,f,h,e,i,c,c,h,d,l,o,k,h,b,f,k,c,l,b,m,n,h,m,a,e,b,e,h,j,d,d,m,n,e,g,j,k,m,e,h,h,m,n,j,a
j,a,m,h,j,c,b,c,k,b,a,n,i,g,j,j,a,o,l,j,b,d,a,b,o,o,c,m,c,n,d,e,c,c,a,l,n,l,k,b,e,b,a,g,m,n,f,c,g,g
i,f,d,o,d,n,d,a,b,j,c,i,g,h,e,h,j,m,g,g,b,a,l,a,g,c,j,m,e,c,g,d,n,n,m,f,m,o,d,m,e,e,b,f,l,o,m,e,g,f
f,e,m,o,a,h,g,c,f,k,j,h,m,c,n,j,f,k,e,d,l,j,e,c,n,a,o,l,l,o,e,m,c,k,n,i,n,g,j,g,i,m,o,d,m,f,h,c,k,e
l,c,h,a,l,a,a,k,b,n,c,i,n,m,g,o,j,h,l,c,c,i,e,l,n,c,g,f,h,c,d,a,b,c,j,d,l,m,k,g,h,l,a,a,h,a,m,c,g,a
l,h,c,e,e,c,f,l,o,j,e,a,l,j,k,d,g,e,d,m,m,h,n,a,c,n,d,g,h,j,a,h,o,l,g,l,h,n,g,d,d,c,d,m,g,f,n,g,e,o
o,a,k,h,i,n,g,a,c,b,g,c,k,e,o,g,b,i,o,g,h,d,c,l,o,f,j,k,e,m,f,b,m,k,l,k,j,c,h,i,n,b,i,b,m,m,o,j,m,l
i,j,i,c,n,m,d,n,i,l,k,d,j,b,f,h,b,e,d,e,m,b,n,l,l,i,n,h,i,e,c,h,m,o,e,j,h,d,d,g,i,o,i,g,i,n,f,n,e,g
e,h,h,h,e,m,o,n,k,a,f,h,j,d,m,c,l,e,l,n,a,k,f,c,e,o,l,o,e,m,f,n,g,a,e,l,n,h,n,k,d,g,o,d,i,g,c,j,k,f
k,g,m,d,o,c,m,e,d,n,i,i,d,o,i,k,i,d,d,o,h,j,j,n,k,l,i,o,c,l,g,o,d,c,l,k,e,b,k,l,i,j,d,b,i,n,j,n,d,j
g,i,b,o,g,g,j,o,g,l,m,g,f,c,c,l,j,n,j,f,g,l,b,e,d,a,l,e,d,f,i,e,l,h,j,l,g,i,o,i,m,b,d,o,f,o,e,g,c,m
f,c,f,j,h,m,i,f,a,o,o,g,e,c,f,e,i,f,m,j,m,n,j,o,o,e,j,d,o,d,c,d,d,e,e,o,g,f,a,g,l,c,d,b,n,a,i,i,c,a
h,h,g,d,g,f,l,n,i,o,m,n,e,h,k,h,n,d,d,c,n,i,m,a,n,k,i,m,b,o,h,k,o,f,n,m,g,f,e,l,c,e,a,k,h,l,h,m,n,d
b,h,d,d,n,b,e,o,i,e,b,g,d,m,n,d,j,a,j,i,b,l,d,l,f,k,i,k,i,f,n,b,l,m,g,d,j,j,d,o,b,g,n,a,l,b,b,f,m,i
o,c,i,m,b,b,a,o,a,c,o,d,d,n,i,o,l,b,h,i,h,g,f,b,l,a,k,f,m,e,n,l,b,d,m,h,e,m,c,g,m,j,f,f,k,m,e,o,b,d
o,j,n,d,k,e,g,h,k,l,l,j,h,k,f,n,m,l,n,i,c,d,c,o,j,i,a,d,b,a,b,c,k,l,o,o,o,m,f,c,j,o,m,n,k,g,f,a,o,g
d,a,d,b,f,k,o,d,c,c,i,m,g,g,f,b,o,j,b,a,l,f,d,f,f,h,k,h,c,o,m,m,l,a,f,e,g,e,c,g,g,c,j,m,k,a,k,j,f,h
d,f,d,f,n,c,d,a,m,d,b,a,i,a,o,h,c,e,l,i,n,m,i,b,k,g,h,b,n,n,j,i,i,d,c,j,i,a,g,j,o,a,g,o,b,d,i,b,h,a
o,e,b,n,g,e,j,h,n,m,b,n,a,e,d,l,m,j,a,e,i,a,l,a,j,n,h,e,o,l,a,f,k,i,n,c,l,l,b,a,c,a,f,b,m,g,o,i,o,e
o,d,g,h,o,g,l,b,a,e,i,g,a,n,b,n,l,m,b,e,h,b,i,k,m,d,g,g,k,o,a,k,o,c,a,n,f,j,c,n,d,b,b,n,o,e,c,c,a,g
n,n,k,n,d,h,a,l,b,j,l,f,i,m,n,j,c,f,l,c,b,k,j,m,a,c,o,b,j,l,j,o,m,c,o,i,a,o,b,d,m,d,e,k,h,h,n,g,d,o
h,e,a,j,h,f,g,a,i,j,m,a,f,g,a,h,h,k,b,g,a,o,l,j,m,a,l,l,b,h,j,o,a,n,o,b,h,i,k,j,d,j,b,h,i,o,k,f,k,g
d,o,f,f,n,m,a,j,o,e,f,c,d,n,a,o,l,b,m,f,l,j,k,o,f,f,k,b,h,o,k,c,c,n,k,l,c,i,a,o,h,e,j,m,j,k,o,b,a,f
h,n,b,d,f,k,c,b,k,d,k,m,n,b,i,e,i,o,e,o,g,h,i,c,c,e,h,j,a,f,h,f,f,j,o,b,o,d,n,e,c,b,c,n,n,l,c,f,m,n
e,f,j,g,c,o,b,l,i,k,f,e,d,f,d,a,j,n,a,e,j,b,g,d,a,b,m,n,l,n,i,k,h,d,a,m,d,a,k,b,e,b,h,f,h,h,l,c,m,a
e,d,h,b,i,o,f,c,m,i,e,d,n,n,m,c,n,l,o,l,f,j,n,f,c,n,h,l,j,a,o,k,e,e,i,a,k,l,o,d,g,f,b,l,m,o,k,m,o,m
i,h,m,k,m,k,c,i,d,b,c,o,f,j,j,d,d,j,n,g,h,o,k,c,f,b,c,c,i,i,j,c,f,e,d,n,l,a,j,a,n,j,m,e,j,l,e,m,h,n
l,h,l,e,b,a,j,k,k,m,g,h,o,k,n,m,n,g,l,j,c,f,n,i,a,f,i,e,i,e,j,e,g,k,i,k,n,e,e,o,k,k,e,m,h,a,h,e,b,j
k,d,f,d,h,k,b,c,m,f,n,c,m,j,c,a,m,b,o,a,l,h,e,e,a,i,i,d,h,n,k,k,c,k,c,a,i,g,b,k,o,j,j,h,o,g,f,f,n,j
a,m,l,f,f,m,k,j,a,j,o,a,c,e,g,f,a,j,f,f,j,k,n,g,o,o,n,m,j,g,i,m,c,a,e,l,h,f,i,a,k,f,c,i,n,n,k,h,a,a
a,o,a,o,c,k,l,a,m,c,b,j,n,o,h,d,e,h,c,a,b,f,h,o,n,b,m,c,j,f,n,a,o,e,b,l,d,l,l,m,g,k,i,j,h,j,c,c,o,b
o,i,b,h,o,g,k,g,j,n,d,g,o,f,d,e,m,c,a,n,h,d,b,m,k,o,n,f,d,g,j,c,f,l,h,d,g,l,j,a,a,o,h,l,m,f,f,i,e,g
n,g,k,f,e,b,g,d,i,d,n,k,c,k,b,k,i,k,g,f,n,h,l,e,n,m,g,a,j,j,j,d,d,e,o,c,n,m,i,m,m,f,a,f,d,d,d,g,m,k
k,l,a,m,o,j,n,i,d,f,b,k,l,m,c,m,n,j,b,j,n,h,o,k,j,h,m,n,d,l,d,n,c,g,n,d,m,a,o,k,b,f,h,d,j,b,d,d,m,m
f,m,k,a,e,a,d,e,e,n,c,h,e,g,n,a,d,i,f,o,e,e,i,f,j,j,k,l,l,o,o,i,j,g,j,k,f,m,j,i,e,g,m,f,j,m,g,i,l,i
j,o,m,h,k,o,a,h,a,j,b,i,j,g,o,c,o,e,b,h,o,b,f,f,l,b,b,e,l,f,j,e,a,l,o,b,a,b,a,m,a,f,n,b,k,m,e,m,b,o
o,e,k,a,a,i,d,f,j,m,j,e,l,k,o,c,g,l,i,l,e,f,h,n,i,j,c,e,e,c,m,g,h,c,l,n,a,a,a,a,k,k,b,k,n,g,k,h,l,n
h,o,g,i,j,l,h,l,j,a,l,a,g,a,d,o,e,f,m,c,b,b,g,o,k,g,n,e,a,g,n,j,m,k,b,c,o,n,d,g,m,o,o,k,o,m,i,m,i,j
b,f,k,o,k,o,j,g,n,b,o,a,n,a,o,e,g,c,c,i,b,h,a,e,b,l,g,e,g,i,j,c,i,a,m,m,i,m,o,l,b,k,a,o,c,h,n,o,l,d
e,m,h,j,c,b,e,j,o,e,m,g,b,o,i,d,f,d,j,m,j,j,m,i,o,c,j,k,f,m,h,f,o,c,i,e,l,n,d,n,o,m,n,o,c,e,j,e,h,a
e,l,c,i,l,d,o,l,h,j,l,i,m,a,o,m,b,g,a,m,l,h,f,j,i,l,n,c,n,f,d,g,h,m,j,c,o,l,b,m,n,a,i,h,j,o,n,m,g,m
h,m,a,n,j,k,n,g,g,g,h,f,c,j,h,a,j,m,e,h,o,i,g,i,c,n,k,e,e,k,n,i,g,n,m,h,g,h,k,c,g,c,g,n,c,h,g,g,l,n
j,l,o,e,j,e,c,d,c,e,a,e,g,a,c,f,e,d,m,b,a,m,m,k,n,g,e,o,h,k,j,n,g,k,o,n,n,n,d,n,a,a,c,b,h,o,i,m,e,e
c,n,f,c,i,a,h,k,m,b,j,a,c,b,m,k,o,o,g,j,e,e,l,o,j,h,c,d,b,h,d,c,c,n,d,j,m,m,d,b,a,k,l,k,a,m,a,f,o,d
n,n,e,k,f,m,b,e,k,o,d,k,b,o,b,i,f,k,k,j,m,h,b,a,o,c,g,o,o,l,l,l,m,k,l,k,n,n,f,e,f,o,d,k,c,c,o,g,a,b
e,i,e,d,h,c,l,k,l,o,o,c,f,d,o,f,o,d,n,i,o,b,d,c,j,g,n,o,c,i,h,o,h,f,o,o,a,h,d,j,f,h,c,d,n,i,f,n,b,l
m,d,j,e,f,g,c,e,g,m,o,a,f,g,o,o,l,k,i,n,e,d,g,h,h,h,i,n,b,c,l,f,e,e,l,h,k,f,c,m,m,m,a,l,m,b,b,h,m,i
a,k,j,n,c,m,g,k,o,c,d,a,a,a,i,m,a,e,l,e,b,n,e,g,e,f,a,l,o,n,b,f,e,o,f,b,a,m,d,f,g,c,h,d,g,i,o,j,f,e
i,b,g,i,k,i,m,b,k,n,a,h,f,e,g,n,e,i,j,h,b,i,n,d,b,l,j,m,k,o,j,k,e,m,a,i,c,l,l,j,c,k,g,f,c,c,o,a,n,d
d,k,h,j,f,a,i,o,l,h,k,k,i,m,a,i,m,d,l,o,d,j,e,g,d,n,l,b,b,j,n,m,j,e,m,o,a,f,k,l,m,g,o,m,d,e,o,m,j,o
l,m,i,j,h,i,k,e,a,c,l,f,h,h,m,n,i,l,k,m,o,a,j,j,k,l,e,c,n,b,h,n,c,i,o,f,e,h,a,m,k,a,e,a,c,j,c,j,k,d
a,e,d,k,d,a,d,g,m,b,n,o,e,h,o,o,k,i,g,h,i,o,j,d,a,i,i,l,f,c,f,i,b,d,l,e,k,e,k,i,b,k,g,a,h,o,l,n,b,c
h,j,i,d,m,o,a,g,a,f,a,l,a,d,c,b,g,m,a,f,i,m,a,j,l,i,h,l,g,b,h,l,l,d,f,j,o,m,i,a,b,e,h,n,c,l,h,j,d,h
j,j,g,e,d,e,e,c,f,h,k,n,k,e,f,f,f,l,n,c,b,h,b,c,n,i,i,e,e,e,j,n,e,e,d,a,c,f,g,j,m,h,c,k,b,i,e,n,m,b
o,a,k,l,e,b,j,m,i,o,n,o,m,k,m,g,n,f,k,o,m,a,f,j,e,h,a,l,j,g,k,n,c,o,d,e,d,e,b,o,j,n,g,i,b,c,m,c,d,n
