var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
r,n,f,i,n,b,s,f,l,a,e,k,j,o,b,f,l,o,t,q,g,o,t,b,i,a,o,d,j,c,s,a,m,i,s,p,p,g,q,f,d,h,h,o,c,r,i,t,d,a
m,q,f,j,p,p,k,c,j,i,f,h,a,b,n,d,r,q,f,l,a,j,o,f,e,q,l,i,t,r,p,g,c,k,p,t,i,t,g,p,e,d,j,j,m,r,c,g,h,b
b,r,t,f,c,s,q,h,f,i,l,q,f,k,q,f,f,l,c,l,m,s,c,r,q,g,b,p,c,n,m,e,t,n,k,n,p,s,n,q,n,t,j,t,i,m,d,a,a,p
r,p,g,s,n,k,r,t,n,m,o,l,j,a,c,n,f,k,q,t,j,g,j,m,f,c,o,n,k,r,p,j,p,q,a,r,k,g,i,i,m,f,q,d,s,s,s,o,h,h
p,m,g,l,f,q,g,h,h,n,p,i,t,b,r,a,a,q,q,f,p,g,m,r,k,c,l,q,t,n,j,i,j,a,m,h,b,s,n,d,f,a,o,d,h,h,m,m,f,o
h,i,r,e,a,e,t,o,i,i,e,t,b,r,o,r,r,l,k,i,h,r,r,p,n,m,l,j,f,s,i,o,g,g,b,d,h,b,p,c,j,f,m,f,n,g,p,l,n,o
j,t,g,h,f,t,m,t,a,i,d,c,l,h,g,e,r,j,d,m,p,t,o,m,j,n,h,l,n,b,l,e,g,p,n,p,i,k,j,g,l,k,i,l,t,r,e,l,t,f
p,i,i,d,q,k,f,s,f,o,o,k,b,g,k,m,n,g,s,g,g,j,m,b,j,e,l,b,h,f,l,q,i,q,b,r,g,l,e,l,k,o,j,d,b,h,t,r,k,n
l,b,h,c,t,l,g,r,j,l,s,k,b,p,g,k,d,d,q,f,d,t,j,b,l,e,s,n,q,t,i,k,q,a,n,l,f,g,s,g,k,m,p,r,l,k,l,c,l,r
i,a,q,r,d,f,d,p,m,q,k,r,q,r,o,j,h,c,c,h,m,e,i,t,p,h,p,g,l,e,f,b,d,d,o,n,q,a,e,i,t,p,r,k,g,o,p,q,m,o
