var_1,var_2,var_3,var_4,var_5
e,d,c,b,e
f,d,a,c,c
e,b,e,b,f
e,b,c,a,d
b,f,f,a,a
e,f,d,b,c
b,b,d,e,e
f,b,f,a,d
d,d,a,a,f
b,f,c,e,c
e,b,c,a,d
f,d,a,b,a
c,e,e,f,d
b,e,b,e,c
f,e,c,b,a
b,d,d,b,f
a,a,b,c,d
b,f,e,e,a
b,f,a,c,b
b,e,c,b,a
c,b,a,c,f
c,c,a,b,b
e,f,c,a,b
d,e,c,a,d
f,e,f,a,e
a,d,b,d,e
e,d,f,e,a
d,c,d,a,c
b,a,a,b,b
b,b,d,e,d
f,c,f,c,b
d,c,f,f,b
e,f,d,d,b
b,e,a,c,b
d,a,c,e,b
d,f,f,d,d
b,b,c,c,b
e,b,f,e,f
c,e,b,b,b
e,d,e,b,b
a,c,c,c,b
d,b,a,a,c
b,f,d,b,f
e,b,f,d,b
d,d,a,b,b
c,f,c,a,d
f,f,c,b,d
f,d,d,e,c
f,c,a,e,e
e,d,b,e,a
c,c,e,b,d
f,c,b,a,d
a,e,c,f,d
b,e,c,e,c
e,d,d,d,f
b,d,f,c,d
d,d,c,e,b
d,b,b,e,e
f,a,a,e,f
e,b,f,b,f
d,d,a,e,a
d,e,e,e,d
a,b,b,c,a
d,c,f,b,b
b,b,a,b,d
a,e,e,d,d
f,c,d,f,f
e,a,d,a,c
f,a,e,a,b
b,e,b,f,d
a,f,e,e,d
b,e,e,c,b
c,f,f,a,f
d,f,d,d,f
c,e,c,f,e
e,d,d,f,f
e,f,e,d,b
a,c,c,a,b
b,d,a,e,a
b,b,d,e,c
a,e,f,f,e
c,a,e,f,b
a,f,c,c,e
e,d,e,f,b
c,f,d,f,e
c,b,a,a,e
e,e,e,b,b
c,e,f,b,d
c,a,a,e,f
f,f,b,d,b
d,d,a,d,b
b,c,e,d,b
f,e,f,e,b
f,c,d,f,a
a,b,b,a,a
e,d,d,a,a
b,b,f,d,f
f,c,d,a,b
d,e,e,c,b
d,d,c,e,e
b,a,b,a,f
c,b,d,c,a
c,c,f,a,b
c,c,e,d,e
f,f,e,c,a
e,b,b,b,d
d,c,d,f,f
e,e,e,e,c
b,e,b,a,a
f,c,a,a,f
b,d,e,a,b
f,a,e,d,b
f,a,e,c,f
f,c,d,a,f
f,d,b,f,c
b,d,e,b,a
a,a,f,d,e
b,b,e,a,b
e,b,d,b,a
e,a,d,e,a
b,e,f,c,d
d,d,f,c,d
f,e,d,c,a
e,b,e,d,d
e,b,c,c,e
e,b,d,d,a
a,c,f,c,b
c,b,f,c,b
e,e,d,c,b
f,c,b,b,d
f,c,f,e,d
c,d,f,e,a
c,f,d,a,e
c,d,f,e,e
d,b,f,c,c
e,a,f,a,b
d,e,f,d,e
b,e,a,d,d
a,c,b,a,d
a,e,d,e,a
e,d,f,c,e
b,b,e,e,e
c,c,b,a,e
f,c,c,f,f
f,b,e,f,d
d,d,a,c,e
d,b,d,a,c
c,b,e,f,c
f,d,e,b,e
e,e,a,f,c
d,c,c,e,f
e,e,c,d,d
c,f,f,e,c
d,f,a,c,e
f,c,b,a,c
f,f,c,a,e
c,a,c,c,a
d,b,f,f,a
a,c,a,a,b
f,f,b,a,f
b,e,f,f,f
c,b,c,d,a
f,f,d,e,b
b,d,d,f,f
a,d,d,a,b
e,c,a,b,b
e,e,e,f,b
b,e,f,c,d
e,a,f,c,b
c,d,b,f,d
f,b,a,e,a
a,d,b,b,f
c,a,a,d,f
f,c,f,b,b
e,e,f,b,d
e,c,c,a,b
b,b,d,c,b
a,a,c,a,c
f,f,f,e,f
c,b,c,c,d
c,a,f,b,f
b,a,d,a,d
d,b,e,a,a
a,e,b,d,a
e,b,b,d,b
c,b,b,f,d
e,c,d,a,b
f,b,d,e,d
d,f,c,d,e
e,e,c,b,b
d,a,e,b,a
b,b,b,d,a
c,d,d,e,d
f,d,f,b,d
f,c,f,a,f
c,d,e,c,e
b,a,a,d,b
d,a,d,a,e
b,a,d,b,d
b,f,d,a,b
d,d,f,c,f
b,e,b,b,b
d,f,c,d,f
f,e,b,b,a
c,a,e,d,e
e,d,c,d,f
c,e,d,b,f
d,b,e,c,e
b,e,c,e,f
b,d,a,b,e
b,a,c,c,c
a,d,c,e,a
a,e,a,b,d
a,e,b,a,a
f,b,a,b,f
f,a,e,d,c
c,b,e,a,d
d,e,f,b,d
e,a,f,d,c
f,f,d,a,e
a,a,b,f,b
b,c,b,d,a
a,d,e,f,c
b,f,a,d,c
c,e,c,d,a
c,b,a,c,c
c,b,a,a,a
b,b,b,c,a
d,f,d,e,c
a,b,d,d,a
d,f,d,c,a
e,a,b,d,e
c,f,c,b,f
e,d,d,a,b
b,b,d,b,f
b,b,b,b,f
c,a,f,c,c
a,d,b,f,d
b,d,d,b,f
a,d,e,d,a
c,e,f,d,e
e,b,c,e,f
f,b,a,c,c
e,d,f,e,d
c,a,d,a,b
c,a,f,a,a
b,b,f,c,d
f,c,c,c,f
e,d,d,e,f
a,f,e,f,a
c,b,d,a,b
c,f,d,b,e
d,f,c,d,a
e,b,d,e,f
b,a,f,d,f
d,f,a,a,c
b,d,b,f,c
a,e,d,e,f
d,c,a,e,f
e,e,c,d,f
c,b,a,e,b
a,e,d,d,f
b,b,d,e,e
f,f,d,d,d
e,d,f,c,d
d,b,c,f,f
c,a,d,e,e
b,c,a,b,d
c,d,c,c,c
e,c,f,c,e
b,e,b,e,d
a,c,c,e,f
b,f,c,b,b
c,c,a,a,b
e,e,e,d,a
b,c,c,a,e
c,a,e,f,e
e,d,f,f,d
b,d,a,f,d
f,a,e,a,c
b,b,b,b,b
c,b,e,d,a
b,e,e,a,a
d,c,c,a,d
a,d,a,a,f
c,d,a,c,b
a,b,d,f,e
a,a,b,f,a
b,c,b,e,c
b,b,e,c,f
b,e,a,f,d
a,e,a,f,e
e,d,b,d,d
c,d,f,c,c
b,f,e,f,e
c,f,d,c,d
a,d,f,a,e
a,f,d,e,e
c,a,e,f,b
f,f,e,c,e
c,f,f,d,e
e,d,d,a,b
c,a,e,a,e
f,a,f,a,c
d,a,e,c,b
d,e,d,e,b
d,b,a,b,e
e,d,e,f,d
b,e,e,d,d
c,a,a,f,c
c,b,a,b,d
c,d,a,f,a
f,d,d,f,f
f,c,c,f,d
b,a,c,c,b
c,c,e,e,b
a,a,a,a,a
b,e,c,d,b
b,c,c,c,f
d,e,e,f,b
c,f,b,a,b
e,f,c,c,f
c,e,a,d,e
e,a,d,d,d
b,e,a,c,c
b,e,e,d,e
b,a,e,e,e
c,e,b,c,a
c,d,a,d,d
e,c,f,d,a
a,f,e,c,f
b,c,c,f,c
a,b,e,f,a
d,f,d,b,b
f,f,a,f,a
