var_1,var_2,var_3,var_4,var_5
b,b,e,e,a
b,e,c,f,e
a,b,a,a,e
a,a,a,c,d
d,c,e,a,a
f,c,c,a,a
d,b,d,a,f
c,b,c,d,b
f,b,d,e,d
c,b,c,e,a
b,f,d,c,e
d,e,a,a,c
b,a,c,a,c
f,e,c,a,b
d,f,f,d,d
c,a,c,c,f
c,d,b,f,e
e,d,f,b,e
c,f,b,b,f
d,b,a,c,a
f,b,f,f,f
f,c,f,b,f
c,d,a,a,f
a,d,e,a,c
d,a,a,d,a
f,e,a,a,c
c,b,c,e,a
a,c,c,b,b
b,f,d,a,e
d,e,b,c,c
e,c,c,c,c
d,c,c,b,b
c,e,c,c,b
a,b,a,a,f
c,c,a,a,b
e,d,a,d,c
c,a,e,f,d
f,f,f,a,c
e,c,d,b,c
b,e,c,b,d
d,e,c,f,b
d,a,d,a,f
c,e,e,d,a
c,a,f,a,d
e,f,e,d,e
e,e,e,f,e
a,b,b,d,e
e,f,e,d,a
e,d,f,c,a
b,b,a,b,f
e,c,b,e,d
a,d,b,f,b
f,b,e,f,a
a,e,d,b,e
a,a,c,b,d
c,d,a,f,e
e,e,e,c,f
a,b,e,e,b
f,d,e,f,c
d,a,b,a,d
e,d,a,b,c
f,a,f,c,e
c,c,c,f,f
c,e,d,c,c
d,f,f,d,f
f,e,b,d,a
f,b,e,e,b
c,a,f,c,c
b,f,f,c,c
e,b,f,d,a
e,e,d,a,e
d,e,d,b,f
e,c,d,c,e
a,d,a,e,d
d,f,a,e,d
c,c,f,c,a
e,e,f,f,b
f,b,f,e,d
e,d,a,d,e
e,a,a,b,a
a,a,c,f,a
b,a,f,f,b
f,f,e,b,e
f,a,c,d,d
d,d,e,e,b
c,d,c,b,d
b,d,d,c,a
a,c,f,e,a
e,d,f,c,a
f,c,a,c,f
f,e,e,f,a
a,c,c,b,f
a,b,f,b,c
e,b,f,c,e
e,c,f,c,a
e,c,f,b,b
f,b,a,e,e
d,e,c,b,d
c,e,b,c,e
d,b,c,e,e
