var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
b,i,c,c,c,e,e,j,j,g,h,e,i,b,a,e,f,e,b,j,b,j,d,e,d,h,i,a,h,f,f,j,e,a,f,g,d,g,a,a,c,i,b,a,i,d,f,c,a,j
a,a,b,h,i,a,g,g,d,a,j,h,a,b,g,j,i,i,c,g,a,j,j,i,a,c,c,h,g,j,e,e,d,d,c,b,a,b,d,h,c,d,b,a,b,b,a,g,b,f
d,g,b,f,b,g,a,g,e,c,c,d,f,e,c,a,i,f,f,f,j,g,i,a,f,i,g,f,h,c,b,i,d,i,b,a,a,e,h,a,c,c,i,g,i,d,e,j,h,i
i,b,e,f,a,g,e,j,a,f,d,e,j,i,e,g,e,b,e,e,i,c,c,h,e,h,g,h,g,h,h,i,f,j,h,g,h,a,g,g,e,i,j,f,i,a,f,i,d,h
d,j,j,b,i,g,b,a,h,i,h,h,a,e,f,g,h,f,i,i,d,g,c,b,g,c,g,j,g,d,a,a,j,e,g,h,b,b,i,f,i,h,i,h,d,i,e,a,i,c
i,f,d,f,f,g,a,j,e,c,h,g,b,j,d,a,f,f,j,j,e,g,c,i,j,b,e,i,d,d,c,e,b,e,h,f,b,c,d,c,d,f,h,h,h,a,c,e,d,b
g,d,d,c,a,b,a,g,e,e,g,j,b,j,j,j,h,i,g,a,a,d,j,c,c,f,g,i,f,c,e,j,j,j,c,i,a,b,d,e,d,d,h,f,j,g,i,a,i,f
c,e,e,a,d,f,a,e,d,j,h,e,j,i,h,h,d,d,h,b,d,a,b,e,f,i,c,f,g,b,a,a,a,d,g,c,f,g,d,c,e,j,c,j,c,e,d,d,c,g
b,f,b,a,a,b,b,i,e,f,j,d,f,d,i,g,j,c,f,a,g,c,c,j,h,g,j,b,c,d,b,c,h,f,f,f,e,c,d,i,e,b,d,i,a,i,h,e,b,i
d,g,g,f,j,f,b,d,b,h,h,c,i,j,a,g,e,c,j,h,g,c,d,d,b,b,h,c,h,c,h,j,c,h,a,e,j,e,e,e,j,i,e,a,a,c,d,a,j,j
