var_1,var_2
f,a
a,e
d,f
f,b
f,d
a,e
c,e
b,c
e,a
e,b
e,f
b,b
d,e
c,c
a,a
e,d
c,b
e,c
f,d
e,c
e,c
c,d
b,c
d,a
e,f
e,e
d,f
a,f
b,d
a,e
a,d
e,d
f,e
b,b
b,d
e,d
a,c
e,a
d,d
f,b
d,d
f,f
e,a
c,a
a,f
c,c
e,d
c,b
c,c
c,b
c,e
f,f
f,b
c,a
c,b
d,b
d,f
c,f
e,b
f,e
d,f
f,d
b,e
e,b
d,d
e,f
c,d
e,b
e,f
d,f
e,e
e,e
d,a
b,a
d,f
b,f
d,c
b,c
e,c
b,b
e,d
c,a
a,f
a,d
c,e
e,a
d,f
c,b
e,a
e,e
f,f
c,e
e,d
c,e
d,b
d,f
b,a
a,a
b,e
b,b
d,e
b,f
b,a
a,f
f,e
d,c
e,a
c,e
d,e
c,a
a,a
e,d
c,d
b,f
a,e
a,d
f,c
b,d
b,b
a,d
b,c
d,e
d,d
b,d
c,d
e,f
e,d
e,a
f,c
e,c
c,d
d,b
f,d
d,c
e,d
a,e
f,e
d,c
a,b
b,f
c,b
f,b
e,c
f,e
c,e
f,e
a,b
a,b
c,a
e,f
a,f
f,b
b,b
e,d
a,a
a,a
d,b
f,e
f,d
e,a
c,c
c,e
a,a
d,b
a,e
c,f
b,c
b,d
b,e
d,a
a,c
a,b
f,e
e,e
b,c
f,e
c,f
a,a
f,d
a,f
d,f
d,f
d,f
b,a
c,d
f,c
e,f
a,d
a,b
c,e
b,f
e,f
d,f
c,e
c,c
d,d
b,a
e,f
a,d
b,c
f,c
a,c
a,a
e,b
b,c
f,c
e,c
e,a
b,d
f,c
f,d
b,b
e,c
f,b
c,f
a,f
b,c
b,d
e,c
d,b
c,a
b,a
e,a
e,a
a,e
a,a
f,e
c,d
e,c
e,a
d,e
e,b
a,f
e,b
b,b
c,e
f,b
e,d
a,b
c,e
b,c
c,c
d,a
f,e
c,f
d,e
c,a
f,b
c,f
c,e
d,e
c,f
f,b
e,f
e,f
a,c
f,c
c,f
a,b
e,d
b,a
d,f
e,f
b,a
d,e
b,c
a,f
c,c
c,b
a,a
c,c
b,b
f,d
e,e
f,e
c,e
f,c
b,d
f,b
a,d
e,a
d,e
f,f
f,d
e,f
b,c
d,e
f,a
d,c
c,f
b,d
d,e
f,c
d,c
e,d
d,a
f,f
a,d
d,a
d,e
a,a
e,f
c,b
e,e
a,d
b,b
a,c
d,c
c,a
c,b
e,f
e,d
d,a
f,f
a,d
f,b
e,f
d,b
f,b
b,c
e,f
e,c
d,a
e,f
a,c
e,c
d,a
f,f
b,b
e,b
c,f
c,f
b,b
c,c
d,c
a,e
d,f
b,c
d,d
f,a
a,e
b,f
d,e
e,c
b,c
a,e
f,a
b,a
c,a
d,e
f,c
f,a
d,e
f,a
e,c
c,f
b,a
d,f
f,a
a,a
b,d
b,f
d,a
c,a
b,d
e,c
f,c
c,d
e,b
f,d
c,a
d,d
d,a
b,f
f,a
b,a
f,c
c,f
e,d
a,e
d,c
e,b
d,e
e,b
a,b
c,b
c,d
a,c
d,f
f,a
b,e
a,e
c,e
c,e
d,e
e,d
e,d
d,b
a,b
f,d
e,c
d,b
a,e
a,d
e,b
b,d
c,b
d,a
a,a
c,c
f,e
e,c
d,b
d,e
a,a
b,e
e,b
a,b
d,d
b,b
c,c
d,c
d,e
c,f
f,d
e,f
f,c
b,e
a,e
e,c
f,c
f,c
c,d
c,c
b,b
d,c
e,d
d,e
c,f
d,d
d,e
a,a
b,c
a,f
b,f
e,e
c,c
d,b
e,f
f,a
f,d
a,a
b,a
d,e
a,d
a,d
b,d
a,e
d,c
e,d
e,f
f,f
a,d
d,d
e,c
e,d
e,e
d,b
f,a
f,c
c,a
c,b
e,a
a,a
a,a
a,c
a,b
b,b
e,a
e,a
f,b
c,a
e,f
b,f
e,f
d,b
b,a
b,d
e,b
d,e
f,b
d,e
c,c
e,a
e,b
e,c
b,a
b,c
b,f
f,f
