var_1,var_2,var_3,var_4,var_5,var_6
c,b,e,d,c,b
c,f,e,d,d,d
c,c,e,c,f,f
c,e,c,c,a,b
e,b,f,a,a,d
e,c,a,a,d,d
a,e,e,c,f,c
c,b,e,d,d,d
d,d,f,e,a,f
d,a,f,e,f,e
b,f,f,f,a,d
d,a,c,e,a,e
b,b,c,b,e,e
b,e,f,b,c,d
f,c,e,d,d,b
d,d,e,d,c,e
d,c,b,d,c,c
a,f,d,b,d,b
b,c,d,f,a,e
a,c,b,a,c,a
a,d,a,e,e,d
f,c,c,d,d,a
d,a,e,a,e,f
b,f,e,b,f,a
e,f,d,b,d,b
d,c,b,e,a,c
f,d,c,e,a,f
d,c,c,b,b,a
c,c,f,e,d,c
b,f,d,a,e,f
a,f,b,b,d,e
c,f,a,d,f,b
e,c,b,b,d,a
b,b,d,a,e,a
e,e,a,c,b,f
b,d,f,a,e,c
a,d,a,a,a,b
d,d,f,f,a,e
b,f,b,c,e,c
e,f,f,c,f,b
a,c,c,a,d,c
c,c,c,e,e,a
e,f,e,a,d,e
e,c,d,b,e,d
d,d,a,b,f,a
c,d,f,b,e,a
e,a,f,b,c,d
e,b,b,a,e,e
b,e,f,a,e,b
d,d,b,c,c,b
a,c,c,f,f,d
a,e,f,c,a,d
a,d,b,b,e,c
a,c,b,c,a,d
a,f,c,e,f,b
a,f,a,f,a,a
f,d,f,e,b,c
d,d,c,a,d,d
d,e,c,d,e,f
d,d,e,b,f,f
e,e,f,a,f,b
b,f,d,f,e,d
e,d,e,b,d,b
f,c,e,d,f,f
a,c,c,b,c,b
f,f,e,c,b,d
d,b,c,c,d,c
e,d,f,d,b,a
c,f,b,e,e,c
b,e,e,f,f,b
c,b,c,e,d,f
d,d,b,f,a,f
d,b,d,a,a,d
e,e,c,c,e,b
c,a,e,d,c,d
b,a,b,a,c,b
f,f,c,d,c,b
c,b,d,a,f,d
a,b,d,c,e,c
c,c,a,b,c,d
c,a,a,a,f,e
f,a,d,f,a,b
c,c,b,f,f,f
a,d,f,b,b,c
d,f,a,c,f,f
d,f,a,c,f,d
e,d,c,c,a,d
a,c,f,e,f,b
f,c,c,d,f,e
e,c,b,a,b,e
b,f,e,e,e,f
c,c,a,f,f,e
c,c,d,a,a,d
a,a,a,c,c,e
b,e,c,c,b,f
b,e,c,a,a,f
f,d,f,b,a,a
d,e,d,a,f,e
a,c,f,e,e,c
a,a,f,d,d,a
d,b,c,f,a,a
f,c,d,d,a,c
e,c,c,d,d,b
d,b,c,b,e,e
b,d,d,f,e,d
d,b,a,a,f,f
f,e,f,c,f,f
b,d,e,b,d,f
e,b,f,c,f,c
b,b,b,c,d,b
c,e,c,e,c,d
b,e,b,f,b,a
c,e,b,d,f,b
b,b,d,a,a,d
a,c,e,c,e,c
b,a,d,b,f,f
f,e,a,e,c,d
e,b,d,e,e,b
f,b,d,d,d,a
f,c,f,e,a,f
a,d,b,b,b,a
d,e,b,e,a,d
f,c,f,f,b,a
f,b,d,b,e,d
e,d,d,c,e,c
e,f,a,b,b,b
e,f,a,a,c,b
f,c,a,b,e,e
b,f,d,c,c,f
b,a,e,b,d,f
d,d,d,c,e,d
b,e,f,f,b,e
e,c,e,c,e,d
e,a,d,d,b,a
a,b,a,f,d,d
e,c,b,f,e,f
e,d,f,b,c,a
c,a,b,c,e,b
d,e,e,a,e,b
b,a,d,b,a,d
e,b,f,f,d,b
b,b,a,a,f,e
a,a,c,c,c,e
c,d,a,b,a,c
e,d,a,d,a,e
e,c,d,a,c,a
e,d,d,b,e,f
a,c,f,b,f,e
b,a,a,e,b,c
a,a,b,b,d,a
a,d,c,e,a,b
a,b,a,c,c,d
c,d,f,b,f,a
b,f,f,e,b,a
b,d,e,e,e,a
b,e,b,d,d,b
b,a,c,b,c,b
b,e,b,a,e,f
b,a,d,a,f,e
c,e,e,b,d,e
a,f,a,c,f,f
c,a,e,f,f,f
c,a,b,f,f,f
b,c,b,f,d,a
b,a,a,f,a,d
b,c,b,b,f,f
b,e,d,d,c,b
f,a,f,f,f,a
d,b,d,d,c,c
