var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
d,f,h,d,m,b,b,f,b,c
m,a,j,g,b,m,d,o,h,i
o,h,h,n,g,j,n,i,g,c
m,j,b,j,k,o,h,j,o,n
b,c,f,f,g,k,l,i,l,m
d,o,o,i,a,n,h,i,d,i
m,n,d,k,c,k,d,n,d,m
h,h,a,h,n,l,f,m,m,n
l,c,o,b,l,h,n,a,m,i
b,j,a,d,e,n,g,o,j,n
f,j,k,h,a,j,n,c,f,f
i,g,o,g,f,f,e,g,m,c
d,l,g,j,o,d,f,e,j,b
f,m,g,b,e,j,e,g,a,g
e,f,c,a,f,b,k,k,l,m
c,o,n,o,n,j,m,m,f,k
l,b,d,g,k,l,d,i,a,d
k,k,e,a,k,d,j,m,e,c
c,e,j,f,o,b,k,i,i,e
i,l,h,l,m,m,j,m,o,a
n,k,k,e,a,a,n,c,n,f
k,g,k,n,e,f,g,d,i,n
j,l,k,f,j,m,o,f,f,n
l,c,m,i,o,j,l,d,m,l
h,o,e,m,g,m,h,k,g,g
j,j,j,e,g,o,a,f,b,d
l,l,c,k,g,j,h,k,m,n
d,i,m,f,d,l,g,e,k,m
a,o,b,g,i,g,k,k,j,b
m,e,o,f,k,n,j,g,l,c
h,d,a,g,m,b,m,n,k,l
n,n,m,b,i,d,j,l,b,l
k,i,f,i,l,m,f,c,m,k
d,f,l,j,c,k,m,k,n,f
f,b,k,e,g,e,i,c,k,l
k,c,i,c,g,a,h,k,k,l
h,b,i,g,i,b,m,c,a,l
b,j,k,k,n,i,f,d,b,h
n,f,n,c,h,o,h,c,i,b
b,k,m,j,f,l,i,c,e,h
h,h,d,m,o,k,o,n,a,l
e,f,l,h,b,f,a,g,j,j
e,l,d,d,f,c,o,h,c,n
g,b,g,a,m,n,h,b,c,m
g,g,f,o,j,f,f,d,f,j
m,n,n,c,n,c,m,a,j,a
k,l,a,i,k,o,l,e,d,b
n,a,j,g,f,k,m,c,f,e
n,b,a,g,f,h,b,h,e,j
l,m,e,e,o,m,l,d,o,g
i,o,a,f,g,o,a,b,f,m
n,b,l,g,l,l,d,m,l,b
c,n,h,l,l,c,j,a,k,b
f,h,g,c,b,d,g,i,l,h
g,i,i,o,h,n,l,o,g,h
b,e,a,f,k,f,b,d,j,k
k,d,k,i,o,h,g,c,c,a
i,h,h,d,a,m,j,m,m,d
j,n,e,l,f,k,n,k,g,o
g,h,a,i,m,c,n,g,b,m
i,o,j,g,c,o,k,n,j,o
h,c,c,f,o,g,i,d,i,l
j,i,f,b,h,f,m,d,a,a
b,i,k,d,e,d,g,a,m,a
h,n,f,n,b,m,l,h,j,d
g,k,k,k,c,g,d,n,i,c
j,d,k,l,o,j,c,k,l,h
j,l,f,m,e,a,f,j,f,i
i,g,d,c,l,o,d,d,a,a
d,m,n,o,d,d,m,n,g,f
d,e,j,e,j,f,l,c,d,a
b,g,a,n,m,h,h,i,f,n
c,j,j,d,j,o,o,m,c,f
g,k,g,h,h,h,d,c,a,g
h,h,g,a,e,b,i,f,a,o
