var_1,var_2,var_3,var_4,var_5
c,c,c,c,d
d,a,b,c,c
c,a,d,b,c
c,d,b,a,c
b,d,b,b,c
b,d,b,a,c
c,b,b,b,d
a,d,b,b,b
a,d,a,a,c
c,c,a,c,b
c,c,c,c,a
c,c,c,d,b
d,d,b,c,a
a,a,b,a,a
d,c,a,c,c
a,d,c,c,c
c,c,d,c,a
d,d,c,d,a
a,c,d,b,c
c,a,b,a,d
b,b,b,a,c
d,b,b,b,d
c,a,d,b,d
d,c,d,a,b
a,d,b,b,a
d,c,c,a,b
a,d,b,d,d
d,c,b,d,d
a,c,d,c,d
b,a,d,c,c
a,a,c,d,c
a,d,c,a,a
c,c,b,d,d
c,d,b,c,b
d,a,b,c,a
a,a,a,b,c
a,b,c,a,d
a,a,c,c,a
a,b,d,d,d
b,a,c,a,a
a,a,b,c,c
d,d,d,d,b
c,d,a,d,d
b,c,c,b,c
c,c,d,a,b
c,a,d,b,a
a,c,d,d,d
a,b,b,d,d
c,b,b,c,a
c,c,c,c,a
c,c,c,a,c
d,c,b,c,c
d,d,b,d,a
a,a,b,c,c
d,d,d,a,c
d,a,c,c,b
c,d,d,d,a
b,a,c,c,d
b,b,d,c,b
b,a,b,a,d
c,c,d,d,b
a,b,d,a,d
d,c,a,c,d
a,d,a,c,c
d,b,c,d,a
a,c,c,b,d
c,d,a,b,d
d,a,a,a,b
a,a,a,d,a
a,b,a,c,d
d,c,a,c,a
d,d,d,a,d
b,a,c,c,b
a,d,b,c,a
d,a,c,d,c
b,d,b,b,b
a,d,a,d,d
b,d,a,a,b
a,c,a,a,d
c,c,c,d,c
a,a,a,a,a
b,d,c,c,b
d,b,c,a,b
d,a,b,b,b
a,c,d,c,c
b,b,d,c,c
b,d,a,d,c
a,c,d,b,c
c,d,d,a,b
a,c,a,c,b
a,b,d,c,c
a,b,b,c,a
a,d,d,d,c
d,a,b,d,a
a,d,c,c,c
b,a,a,b,b
d,a,b,b,a
d,b,b,d,a
b,a,a,a,a
c,d,b,c,c
