var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
j,j,f,d,i,n,f,y,b,y,g,v,d,s,z,t,m,i,x,y,f,r,m,g,s,u,A,C,r,q,m,q,l,t,q,v,l,w,A,o,C,s,l,v,w,k,c,s,A,o
C,i,n,A,q,m,o,p,n,m,r,d,i,l,v,o,o,i,q,w,v,y,g,e,j,A,w,g,l,e,l,b,B,w,n,C,o,q,o,D,f,f,t,C,a,D,z,u,k,y
u,x,p,w,n,v,g,q,r,n,A,r,z,f,g,g,C,l,k,D,w,e,o,x,C,s,w,r,t,D,m,d,z,x,f,A,g,s,k,A,o,C,v,y,q,r,c,B,n,m
u,w,z,w,q,w,i,r,r,n,h,d,n,f,b,w,r,c,d,t,D,f,h,z,n,a,b,t,z,o,o,w,x,c,w,d,q,g,q,b,m,y,x,g,p,q,m,a,g,j
y,l,w,k,o,j,w,i,x,g,k,p,r,t,w,k,l,v,u,x,m,i,d,D,z,x,a,a,c,a,m,p,d,m,x,p,z,k,t,C,f,f,b,p,n,g,k,B,t,f
d,c,y,A,z,y,l,u,m,g,A,k,C,D,p,p,p,n,i,B,A,A,d,y,r,m,c,a,B,l,i,B,o,C,g,j,v,k,m,e,s,r,D,l,t,A,x,q,C,j
b,s,e,C,v,t,k,l,D,z,c,l,l,e,a,r,i,B,D,j,w,k,i,g,e,j,w,f,n,z,g,g,z,d,e,t,B,e,x,e,f,b,k,d,m,k,s,B,p,B
f,D,m,e,t,A,f,s,k,z,s,d,k,u,v,A,j,b,k,y,a,c,r,A,A,B,m,o,g,n,b,D,t,a,p,g,z,z,j,n,D,A,C,s,x,d,p,h,j,k
u,r,t,a,n,j,g,a,y,D,c,x,p,a,o,j,l,o,D,j,h,o,o,s,u,f,h,A,f,a,g,x,v,z,n,v,a,a,j,r,e,e,c,e,a,z,f,s,f,j
z,n,m,y,z,f,C,t,j,A,c,f,z,s,k,x,q,r,u,x,q,B,g,c,B,c,f,p,h,l,B,m,n,e,t,c,w,m,s,c,j,d,s,e,B,s,C,q,r,c
j,a,f,a,l,d,B,x,a,p,p,r,y,h,v,u,b,m,c,q,u,p,D,A,v,r,u,g,B,e,b,v,b,v,u,C,D,n,o,i,i,a,g,e,o,a,A,b,b,w
D,h,z,A,k,d,q,u,c,p,f,p,A,r,h,s,j,C,i,n,g,d,s,y,x,B,e,o,C,k,h,y,v,x,a,c,v,g,y,e,b,k,B,x,h,y,p,v,y,o
D,q,g,n,a,r,u,u,x,A,f,n,C,j,t,b,C,n,e,n,D,m,r,e,y,n,k,i,e,f,e,i,a,l,o,i,B,r,b,l,c,x,v,z,d,s,x,r,D,w
k,w,n,b,l,q,c,f,m,C,e,B,n,d,B,A,b,l,l,b,v,r,C,x,t,q,v,m,o,i,i,m,i,y,o,B,B,g,s,k,C,m,j,a,D,f,f,u,B,p
a,f,a,B,t,b,y,a,w,a,r,d,v,h,w,e,f,n,y,z,l,p,d,l,l,j,j,g,l,s,c,k,B,c,i,C,j,h,z,o,v,A,k,x,w,m,B,n,p,w
n,r,j,v,g,z,t,B,x,b,f,c,k,u,c,u,o,m,z,e,n,n,c,l,e,z,v,e,n,l,t,q,k,k,r,A,e,D,d,c,h,p,i,z,b,q,r,A,n,o
i,p,u,u,j,w,s,h,y,r,z,o,f,A,k,o,l,s,g,C,C,i,w,t,t,s,e,z,e,w,x,z,q,A,v,C,x,w,g,b,k,w,c,t,g,B,a,o,w,w
a,f,n,p,l,c,t,f,A,i,y,m,c,c,A,d,y,y,p,C,B,k,k,z,D,t,u,e,p,A,r,r,w,h,j,p,h,m,d,n,A,q,f,a,B,n,p,c,p,a
y,i,x,z,z,h,e,m,B,v,q,x,C,w,f,o,A,o,c,x,D,p,a,o,x,o,f,y,a,h,r,j,d,s,r,q,w,u,l,k,D,f,z,e,n,j,A,j,w,s
f,u,h,k,h,z,s,l,s,A,w,h,d,p,l,t,p,m,B,D,w,b,v,d,b,r,r,e,s,b,l,x,n,u,h,i,j,i,d,k,b,z,y,x,C,y,B,B,h,z
f,n,g,e,y,m,x,e,g,s,k,D,k,r,z,q,a,i,m,t,o,n,C,o,u,A,p,z,j,p,s,w,o,o,u,p,z,C,t,a,i,o,e,w,f,t,m,f,h,u
A,e,v,C,p,u,k,e,x,d,n,D,y,f,b,C,u,f,u,h,D,f,w,n,A,m,p,z,f,e,f,c,w,y,f,t,d,A,v,a,h,B,k,u,B,r,p,h,y,D
k,y,r,h,c,t,D,f,o,b,v,z,a,A,j,y,c,i,y,q,g,l,d,x,z,A,u,e,p,u,j,u,t,m,t,p,A,n,u,p,h,p,b,v,o,a,A,p,x,f
m,p,q,k,x,w,i,x,r,A,h,l,g,h,a,f,w,D,A,A,C,l,r,k,s,t,l,u,d,x,a,x,A,k,f,w,A,D,x,h,a,k,a,A,s,e,e,j,m,i
q,w,o,q,u,d,e,m,C,g,c,B,A,u,i,o,e,e,e,r,D,d,a,n,C,h,x,D,x,l,x,C,n,u,l,y,w,b,p,x,f,m,a,C,c,h,f,x,d,k
D,x,s,b,s,c,p,q,f,g,D,m,p,y,x,l,i,p,h,e,z,d,z,m,k,b,A,r,c,i,t,h,D,p,k,k,k,A,d,f,w,f,a,k,s,k,r,n,y,c
n,f,m,w,p,w,B,w,x,m,l,c,l,s,k,q,C,j,n,k,A,B,m,i,k,c,i,n,d,g,x,a,x,u,C,x,u,g,i,D,h,j,e,l,u,o,r,e,a,e
d,p,o,f,e,D,u,s,t,l,h,B,t,n,q,n,p,w,e,g,d,c,q,p,i,B,r,f,x,j,C,C,z,w,z,p,k,d,h,o,z,h,o,t,y,s,v,k,n,A
w,j,v,p,t,q,h,f,k,B,e,C,s,v,c,o,x,g,q,s,v,C,c,i,r,w,k,x,b,g,C,z,v,p,s,l,C,g,j,a,k,z,z,k,d,v,f,o,y,d
r,f,g,r,p,u,A,x,w,z,m,t,y,c,w,w,o,m,h,s,q,s,w,h,w,A,k,d,r,a,m,u,w,t,D,A,w,d,m,B,v,o,q,s,o,h,f,c,p,a
A,t,C,u,c,a,u,w,h,h,g,f,t,b,d,d,e,k,v,i,g,n,t,j,v,d,h,a,b,t,u,d,y,j,B,v,l,d,x,w,i,g,h,u,s,D,A,B,r,C
v,u,m,u,b,a,l,i,z,n,o,e,B,n,D,s,t,o,h,i,v,D,i,k,a,h,f,t,z,p,k,r,l,w,c,o,z,e,C,r,e,B,c,e,A,a,m,a,p,l
n,C,c,w,B,v,q,y,n,s,t,y,v,i,c,e,p,c,u,c,B,f,i,p,p,a,b,b,j,a,s,c,p,p,n,s,f,C,k,b,o,s,h,h,g,f,r,y,r,q
c,m,z,v,m,g,k,q,i,z,b,e,o,B,u,i,r,f,m,e,e,j,k,x,g,e,b,t,v,x,m,a,m,y,a,h,g,m,A,f,k,c,q,D,e,j,t,j,t,t
c,q,w,f,k,x,i,z,f,n,u,o,w,y,w,x,A,y,e,r,u,A,o,i,A,t,f,i,c,g,A,u,C,k,f,d,n,v,m,v,k,g,a,m,x,t,j,B,c,w
p,D,i,j,j,a,s,z,c,s,d,D,r,u,g,t,k,b,k,B,k,C,l,e,v,y,D,i,m,s,r,k,p,u,d,y,d,p,b,i,s,z,h,b,r,A,D,m,d,r
c,q,k,D,w,s,f,u,f,u,n,j,h,o,e,D,f,B,x,d,r,z,a,h,r,d,t,b,v,q,C,b,b,c,u,u,t,b,A,B,q,f,n,b,i,q,k,a,k,n
x,m,u,y,y,j,D,r,D,C,l,c,p,r,j,k,f,x,j,m,o,i,g,d,A,d,z,b,w,b,C,q,z,f,d,e,B,k,e,n,f,C,B,c,y,D,v,d,j,w
d,j,o,s,q,e,j,v,o,B,q,D,d,e,h,b,z,y,c,c,a,f,p,x,o,j,k,s,u,g,k,B,a,b,p,a,f,y,u,q,u,q,i,a,s,h,z,c,B,B
u,u,t,k,w,B,e,q,B,y,z,y,c,b,t,p,p,v,c,r,D,p,n,b,t,i,r,i,s,x,D,u,d,x,w,a,e,b,l,f,D,A,D,a,s,y,t,d,j,C
z,c,u,z,v,w,e,f,x,x,A,x,a,i,v,c,y,d,e,l,q,p,e,b,f,j,x,h,j,g,f,x,p,e,i,A,y,A,a,l,e,o,p,B,C,u,A,n,r,g
u,o,l,e,i,p,D,r,B,x,k,a,s,d,a,x,m,k,n,c,h,o,i,k,A,e,v,h,h,d,n,o,k,A,p,f,o,l,h,u,x,m,k,g,n,i,t,j,A,q
g,j,D,d,z,g,k,i,g,m,C,n,a,p,D,C,u,f,w,f,v,A,c,o,v,D,f,s,x,n,w,n,j,s,a,r,a,i,B,a,b,u,y,a,n,l,D,d,m,y
o,A,y,l,g,j,v,j,y,g,o,y,s,q,l,t,x,w,k,n,A,e,b,g,g,b,y,w,j,w,p,h,v,l,D,y,D,g,y,n,l,m,v,i,h,z,d,r,x,a
m,g,h,m,i,q,f,s,q,t,y,C,z,B,x,e,a,d,l,n,z,c,a,a,b,k,g,n,f,p,D,n,x,C,n,x,y,r,k,D,d,y,u,e,g,j,u,e,t,z
x,g,g,v,z,q,C,g,i,t,r,B,f,j,a,b,A,l,b,s,h,q,q,z,j,t,C,z,l,z,g,r,C,i,n,g,r,w,b,v,b,x,g,z,B,k,u,b,r,d
c,A,l,e,u,y,v,y,c,d,n,g,k,z,d,l,l,m,j,t,o,y,d,n,q,x,q,j,z,c,n,r,n,e,y,k,k,s,q,D,b,r,g,e,o,i,p,t,k,q
A,x,r,t,n,n,x,v,m,x,i,l,x,n,k,k,q,m,B,r,t,C,h,u,b,A,f,i,h,h,d,e,q,f,t,d,D,w,a,i,C,o,s,l,b,o,u,s,d,t
B,f,k,g,g,B,b,u,c,w,w,x,y,d,l,l,t,e,f,f,t,r,u,A,z,h,w,C,h,i,g,r,C,r,d,m,j,b,m,B,a,D,b,z,g,x,d,A,x,l
z,a,v,w,j,A,s,t,r,v,s,f,j,x,g,c,u,l,D,b,f,o,a,D,x,p,d,g,B,v,u,f,l,w,C,C,u,a,h,l,v,o,A,B,a,D,n,g,a,o
z,a,r,q,w,i,o,p,u,D,c,q,m,p,p,p,D,v,d,c,p,d,b,z,v,d,z,A,e,C,u,i,n,v,y,z,l,C,y,n,s,i,g,w,q,z,a,i,s,k
w,g,t,C,A,e,p,q,D,y,o,c,a,C,s,h,a,a,w,s,i,i,m,k,d,B,t,v,w,r,c,h,z,z,q,j,b,b,o,a,h,r,p,c,r,z,g,z,u,l
g,j,A,p,a,y,l,o,C,h,e,b,x,o,r,y,m,z,a,k,C,o,p,r,r,s,i,a,o,f,s,p,w,v,l,c,b,b,x,t,h,z,k,i,z,x,B,j,q,x
j,m,g,u,C,u,b,r,v,o,d,n,v,h,p,s,A,j,a,D,j,y,t,d,f,v,o,f,v,x,j,k,i,l,i,b,q,v,b,p,C,D,g,f,n,b,o,n,z,D
o,h,o,o,l,k,u,A,e,n,A,B,B,x,c,h,r,r,a,f,l,s,u,u,A,g,D,h,b,e,m,q,w,n,n,f,p,B,k,x,B,C,y,d,C,z,b,h,a,o
z,k,B,p,i,o,u,C,j,r,k,c,i,t,y,q,m,B,l,f,D,B,n,B,t,d,f,h,o,D,c,a,w,k,k,b,s,y,q,f,D,i,e,u,C,b,x,e,o,u
