var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50,var_51,var_52,var_53,var_54,var_55,var_56,var_57,var_58,var_59,var_60,var_61,var_62,var_63,var_64,var_65,var_66,var_67,var_68,var_69,var_70,var_71,var_72,var_73,var_74,var_75,var_76,var_77,var_78,var_79,var_80,var_81,var_82,var_83,var_84,var_85,var_86,var_87,var_88,var_89,var_90,var_91,var_92,var_93,var_94,var_95,var_96,var_97,var_98,var_99,var_100
k,t,f,p,p,d,h,g,p,a,e,g,l,d,j,i,o,e,j,g,s,n,c,f,g,m,f,j,d,m,m,n,o,g,q,n,c,a,q,g,s,s,r,h,o,i,g,a,a,k,h,d,m,e,p,d,a,o,a,p,r,s,a,c,i,k,l,j,i,p,g,f,s,s,s,k,i,g,q,a,g,b,p,c,m,f,c,f,d,q,f,o,n,o,b,p,j,j,t,m
o,f,e,l,k,p,o,b,h,k,b,f,q,c,b,a,n,n,r,m,j,c,m,g,t,j,g,i,p,j,l,c,d,m,p,k,n,n,t,p,n,j,j,b,n,p,m,c,j,e,n,h,c,r,r,c,o,o,r,b,c,c,l,q,k,m,e,t,o,n,h,g,l,d,f,o,k,m,o,q,r,r,e,m,o,q,c,t,r,q,b,b,m,q,j,q,d,h,n,p
j,s,l,k,d,a,q,m,j,k,n,j,e,k,f,m,g,g,j,p,l,n,r,l,o,t,s,p,q,d,f,h,q,g,p,s,g,f,e,e,a,t,m,o,i,e,o,m,i,m,p,s,l,q,a,s,t,n,a,k,d,j,p,n,q,l,q,a,m,j,r,c,i,g,g,k,a,g,d,m,h,h,t,g,o,a,r,q,f,n,d,a,g,p,h,c,m,n,q,s
i,a,g,e,m,a,l,o,i,h,m,i,e,a,a,n,e,t,d,r,m,n,g,r,d,l,n,p,t,s,o,l,b,k,f,f,a,n,q,p,l,b,p,k,h,d,j,d,p,a,r,t,l,f,b,e,f,r,n,b,r,d,a,k,c,f,m,h,n,q,f,l,f,k,f,l,m,g,e,q,q,j,o,c,c,h,e,k,i,n,s,f,j,f,q,h,e,t,j,e
m,h,l,o,o,p,s,d,e,n,d,i,t,s,t,j,k,o,q,f,b,f,t,r,k,g,m,c,i,s,h,m,d,g,b,d,k,e,s,l,i,j,j,n,e,d,b,s,d,k,s,q,l,m,h,f,m,m,l,k,k,h,j,g,i,r,s,d,s,r,q,q,c,b,b,o,j,e,l,o,f,j,k,a,h,g,t,c,b,o,n,e,t,c,c,e,d,l,h,f
b,r,q,l,k,p,n,c,n,l,n,g,i,c,j,q,r,p,a,p,e,j,t,l,d,n,j,r,r,g,k,p,d,o,h,l,o,k,l,d,e,e,h,a,l,r,m,r,c,e,k,q,m,m,k,q,p,b,l,l,c,r,h,e,f,q,o,q,a,l,d,h,s,b,g,n,o,g,i,e,d,q,m,q,m,k,s,l,p,n,o,q,h,i,l,t,a,d,d,s
o,a,p,o,e,h,c,h,b,o,l,g,k,g,f,n,r,a,i,q,m,p,p,m,f,s,s,l,g,f,i,n,a,d,l,g,e,l,k,j,b,q,l,t,t,j,i,s,h,b,m,l,s,k,k,t,g,e,j,j,q,d,c,s,q,a,t,d,e,d,c,t,g,b,m,e,q,m,h,p,t,q,n,s,f,d,i,b,c,r,d,t,t,s,j,e,j,c,k,b
k,d,q,r,q,j,q,b,o,r,i,p,l,m,q,m,f,s,q,l,p,c,o,f,g,c,h,k,g,t,e,s,t,f,o,o,e,a,h,m,h,a,e,f,t,b,g,k,p,m,c,o,a,k,l,b,l,h,d,q,c,j,h,p,b,r,c,t,p,t,g,i,i,b,f,p,j,p,d,g,n,j,r,b,j,e,q,d,l,m,c,g,q,p,m,e,j,k,s,t
j,i,g,p,s,p,p,n,j,l,r,f,n,t,g,b,b,r,d,c,q,g,b,j,k,i,l,r,g,g,k,s,f,q,p,q,r,f,j,a,d,o,j,i,b,b,g,m,o,a,r,k,c,t,n,g,m,q,k,f,g,n,a,d,p,i,r,c,l,t,t,m,e,c,c,l,k,q,d,q,d,r,p,c,m,p,d,p,h,e,d,k,a,b,f,l,i,s,i,s
a,s,p,t,d,l,n,q,h,s,j,s,d,s,d,o,q,m,c,d,d,h,i,t,t,t,o,t,c,c,g,t,q,m,j,n,i,i,g,a,m,t,a,r,a,l,h,b,h,d,a,t,j,r,b,q,s,i,q,o,p,i,m,t,o,e,s,f,n,d,a,c,c,a,b,m,d,g,a,k,b,n,o,t,l,i,j,t,o,b,t,g,d,j,l,a,f,p,s,o
