var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50,var_51,var_52,var_53,var_54,var_55,var_56,var_57,var_58,var_59,var_60,var_61,var_62,var_63,var_64,var_65,var_66,var_67,var_68,var_69,var_70,var_71,var_72,var_73,var_74,var_75,var_76,var_77,var_78,var_79,var_80,var_81,var_82,var_83,var_84,var_85,var_86,var_87,var_88,var_89,var_90,var_91,var_92,var_93,var_94,var_95,var_96,var_97,var_98,var_99,var_100
g,m,g,k,b,j,f,l,e,f,o,b,n,h,h,h,e,j,h,h,o,e,a,i,a,c,o,g,o,e,d,i,k,h,m,l,o,g,a,n,o,b,c,b,c,o,k,e,j,m,o,o,g,i,i,o,b,j,n,f,o,h,g,o,b,b,e,j,a,c,d,c,i,k,k,d,a,a,i,o,b,c,f,i,k,i,h,m,j,e,h,a,c,m,h,i,b,b,c,h
i,f,e,n,d,e,d,g,k,l,b,k,k,c,o,h,a,c,l,b,i,m,c,o,e,c,m,h,l,j,k,a,b,g,e,g,a,m,b,m,i,l,e,c,f,c,n,c,n,i,f,k,h,e,h,k,m,m,f,a,k,d,f,m,a,n,m,a,d,b,i,l,e,d,h,c,d,i,h,m,f,e,b,f,c,h,b,e,l,d,h,e,l,i,c,e,d,o,i,j
d,e,f,l,n,i,i,j,a,h,n,k,c,l,a,i,j,a,c,i,j,h,n,h,k,h,e,o,c,n,l,b,b,m,o,l,i,d,l,h,e,o,c,d,d,c,d,e,m,o,f,c,h,m,n,f,d,h,a,h,a,m,b,f,o,g,n,d,k,e,b,g,k,o,b,c,n,a,i,l,m,i,o,f,c,o,n,l,n,a,j,n,l,d,a,c,a,h,n,o
e,k,d,a,l,a,j,k,g,d,c,n,l,c,c,a,n,i,n,l,n,n,e,n,j,f,n,d,i,a,c,g,h,e,j,n,j,j,c,c,a,n,h,b,m,m,k,o,d,j,n,f,e,e,d,h,c,a,c,n,c,m,e,e,f,o,a,a,a,b,b,m,g,f,l,a,n,c,g,g,i,g,d,d,k,o,k,l,i,b,d,j,o,c,m,b,f,g,g,c
j,l,n,f,a,d,i,d,b,m,d,i,l,a,l,g,k,i,m,c,f,k,i,b,h,d,c,h,n,c,n,h,g,j,j,a,d,o,j,a,d,c,o,c,m,l,c,k,k,j,i,e,f,o,j,o,b,f,i,o,c,k,j,b,n,o,n,o,d,g,f,k,a,i,o,i,i,a,c,c,g,h,m,k,g,n,g,h,i,l,h,o,g,i,d,g,i,m,l,c
f,n,o,j,g,h,b,b,g,j,k,n,g,g,k,i,l,o,c,n,d,o,h,n,i,o,c,a,e,f,n,j,b,h,j,l,o,g,k,j,d,d,h,k,c,m,c,j,f,j,m,f,o,i,f,e,b,f,d,i,h,b,b,f,f,c,k,c,a,l,c,l,l,h,n,i,l,h,l,b,d,d,c,g,m,e,e,a,l,a,d,h,c,o,h,b,o,m,m,d
n,f,b,k,m,h,g,h,d,b,k,b,e,f,e,d,d,h,c,o,a,f,d,h,e,i,l,g,m,j,k,d,c,d,d,l,f,h,b,b,k,l,h,c,m,o,g,c,o,e,i,a,l,i,o,a,j,n,j,h,c,j,a,f,o,c,l,o,d,g,c,j,d,e,l,l,d,k,c,b,k,f,c,f,a,h,n,g,i,h,m,f,b,c,l,m,n,o,b,e
m,g,c,o,i,j,e,i,g,j,k,f,l,h,l,b,m,i,o,e,n,k,a,i,k,j,h,a,g,f,c,g,k,a,a,f,o,k,h,b,i,a,f,f,k,f,f,i,n,k,l,c,n,k,f,o,l,h,f,m,e,g,o,o,o,l,d,k,b,m,c,m,m,e,e,l,l,a,e,n,i,k,k,j,b,m,b,b,j,e,j,n,h,h,g,c,l,h,a,i
a,f,g,j,g,o,k,a,g,m,f,l,o,f,k,k,g,h,k,a,e,l,i,d,i,j,l,h,g,k,o,h,d,b,i,n,h,a,l,j,h,k,a,e,k,h,n,m,n,g,l,h,j,k,b,e,d,a,j,m,e,e,i,c,h,l,d,b,m,n,g,l,b,d,d,a,i,e,k,c,d,o,e,m,b,h,d,g,j,m,d,f,i,m,n,j,f,m,e,o
g,o,g,o,a,h,f,l,o,o,m,d,m,d,b,a,k,e,f,j,k,d,a,g,o,n,i,k,n,l,b,e,b,f,n,k,f,d,l,k,b,b,e,m,n,k,l,l,c,f,g,j,f,f,j,i,f,o,k,c,j,n,k,g,c,h,m,e,f,i,d,i,j,o,j,e,m,j,m,d,k,h,m,b,e,a,f,h,n,b,e,l,n,k,n,i,i,a,i,j
k,n,d,h,g,n,g,n,d,b,l,g,o,n,k,h,c,m,i,i,k,h,h,a,o,g,h,m,a,a,i,c,h,k,j,n,o,b,e,e,h,k,f,m,i,j,e,h,d,g,m,i,m,g,i,h,l,g,a,a,b,j,f,l,c,a,d,e,o,d,f,k,g,h,o,n,m,m,m,g,e,d,f,d,g,a,g,d,e,e,b,b,n,l,k,c,h,n,d,h
a,g,d,i,g,d,j,i,o,o,h,h,d,e,j,k,j,h,b,g,j,b,m,j,m,l,h,e,d,o,i,g,m,n,b,b,m,b,c,h,l,a,d,a,b,h,o,f,f,n,j,a,a,h,f,m,j,n,h,b,i,k,i,m,d,n,h,m,g,n,l,o,o,m,o,a,o,a,g,d,a,e,j,c,c,d,n,l,d,l,f,h,i,j,d,f,h,m,c,h
g,a,j,b,b,c,f,n,h,f,k,k,d,m,a,j,i,a,j,g,g,d,o,b,f,d,e,g,h,l,n,i,n,a,o,o,b,c,h,n,h,b,l,m,d,c,h,i,h,n,l,h,m,a,d,e,o,g,d,l,c,e,f,e,o,o,j,e,e,k,f,i,c,a,d,b,k,j,g,j,c,i,e,f,a,e,l,k,b,k,o,l,m,d,l,j,l,f,b,g
a,c,n,e,l,n,b,i,b,m,k,e,g,m,g,l,j,f,b,k,f,k,o,e,c,j,b,i,g,c,h,l,i,j,h,k,l,n,g,e,o,g,h,l,o,l,d,f,e,f,a,j,b,c,g,l,b,a,b,l,o,g,h,g,o,m,a,a,f,l,k,a,m,e,d,i,m,e,k,d,o,j,a,d,d,e,h,j,i,a,i,j,e,f,k,h,o,o,j,i
b,k,n,j,m,a,f,o,i,e,j,m,a,f,e,c,j,k,g,j,f,o,m,o,j,k,e,i,l,h,h,c,b,i,e,m,k,a,d,b,k,e,d,b,b,m,a,b,g,g,m,e,j,c,h,n,l,i,g,a,k,e,o,h,i,c,a,k,i,g,g,j,c,o,b,c,d,n,e,f,n,h,i,e,a,d,d,m,n,d,l,n,f,f,m,n,m,n,g,k
