var_1,var_2,var_3,var_4,var_5
g,b,c,g,j
c,c,c,e,f
j,d,f,e,g
i,c,d,f,a
e,e,a,h,j
e,a,d,f,a
c,h,g,b,h
e,e,e,d,b
a,g,j,f,e
c,h,f,d,d
f,c,a,c,e
c,g,f,e,d
f,i,b,c,e
e,a,a,d,a
b,h,b,a,d
b,a,j,a,e
g,g,j,i,g
d,j,c,i,e
h,e,f,f,f
f,b,c,e,i
j,b,j,a,c
g,a,d,j,c
d,j,e,j,c
j,c,f,j,j
j,g,f,a,c
b,d,b,e,i
e,b,b,d,i
a,a,h,c,b
g,a,f,a,d
i,f,d,i,b
f,d,c,e,f
f,a,e,e,e
j,i,j,b,a
g,b,c,g,j
a,g,j,f,c
h,f,h,i,e
g,e,h,d,e
b,g,b,j,a
g,f,c,j,b
g,b,d,g,h
i,c,j,j,c
b,h,h,b,d
c,f,d,f,i
g,j,g,i,f
e,c,i,a,f
h,b,j,f,c
g,c,f,e,a
e,f,i,c,d
i,h,a,b,b
a,d,h,f,g
d,b,f,c,g
h,i,j,c,a
g,g,h,c,j
a,c,i,e,i
d,g,g,e,c
c,g,e,i,a
a,h,j,c,g
a,e,b,b,g
i,b,a,i,c
d,j,j,i,d
f,e,c,a,g
i,g,b,d,a
e,c,g,d,f
b,j,e,c,h
i,h,j,h,f
e,h,f,j,c
f,h,h,h,b
e,j,g,c,d
g,i,c,f,i
f,a,c,a,a
a,f,f,b,d
f,f,h,c,h
j,d,a,c,j
i,b,i,d,a
c,b,g,a,g
i,g,i,g,b
a,c,c,b,i
a,j,e,f,b
j,g,f,e,a
j,b,c,b,g
b,d,b,g,b
b,f,a,j,j
j,h,a,h,d
f,e,h,a,f
f,a,i,c,h
f,f,b,f,i
d,h,a,b,e
i,f,i,i,b
f,g,i,a,j
e,d,e,g,f
a,c,b,i,j
b,b,h,a,d
c,f,f,h,f
j,c,d,b,d
j,d,g,e,e
i,d,j,f,d
h,i,b,j,d
j,h,j,d,a
a,i,d,h,i
g,f,h,a,c
d,g,g,e,d
d,a,f,c,b
h,h,e,h,f
d,g,j,a,e
a,e,h,f,f
c,i,i,e,c
j,e,j,b,d
h,i,g,i,j
a,d,e,d,b
i,j,e,d,d
h,h,e,f,h
f,d,e,f,i
c,e,a,a,d
h,g,g,j,b
e,a,f,a,f
b,g,c,j,i
j,h,j,a,e
b,e,a,a,h
c,i,h,i,d
b,g,j,b,g
h,e,d,b,b
h,a,a,h,e
c,b,a,i,i
h,g,j,b,h
b,g,i,i,c
f,j,c,h,f
a,c,h,b,b
a,j,e,i,e
c,i,c,g,h
b,e,e,b,d
b,i,f,b,i
a,g,d,a,b
c,f,h,g,f
g,d,d,i,b
b,d,h,j,b
f,f,i,g,j
e,h,e,a,c
f,i,j,d,f
h,a,a,g,a
e,i,h,i,d
h,c,i,g,c
h,h,e,b,e
e,e,f,d,g
c,d,a,e,g
j,g,e,h,b
d,f,d,a,b
b,d,b,c,g
c,i,f,h,j
h,f,c,b,i
i,j,h,e,h
h,j,j,e,c
h,j,b,c,h
d,b,e,g,d
b,g,f,e,a
f,f,h,b,d
j,j,f,c,b
e,c,g,e,d
e,c,e,b,b
h,i,e,b,j
c,i,i,c,g
j,g,f,j,i
d,h,b,e,d
i,e,j,f,a
b,g,c,d,e
d,h,d,h,j
h,j,f,j,g
i,b,j,h,i
a,i,j,h,b
f,e,c,j,c
a,d,j,g,g
h,f,f,d,g
f,e,a,h,e
e,h,b,b,d
j,j,c,c,h
e,h,j,i,h
i,d,g,g,i
d,g,i,i,i
b,b,g,c,h
e,e,h,i,f
j,i,g,g,f
d,f,a,f,c
b,f,g,a,j
g,b,e,g,h
g,i,j,f,g
f,a,d,a,e
f,e,b,d,d
e,h,c,j,b
h,i,b,e,a
e,j,d,e,c
e,j,e,d,e
b,h,i,b,c
j,f,g,c,b
g,g,j,d,e
b,j,e,h,g
g,a,d,h,e
g,a,c,b,a
a,j,b,c,i
i,j,e,h,f
h,e,d,b,d
j,b,h,g,i
j,i,j,b,a
f,c,i,e,h
j,a,g,j,i
g,e,g,h,c
a,h,j,j,h
c,i,f,i,c
e,g,e,f,e
j,f,d,i,c
a,g,d,d,h
b,i,e,j,f
e,c,h,b,j
d,g,a,g,c
a,e,g,g,e
c,f,b,f,e
e,e,j,d,i
i,a,j,e,b
b,h,e,d,i
b,i,f,d,i
a,i,g,b,b
a,a,g,j,c
c,c,e,j,b
i,a,j,e,g
c,a,i,i,b
a,i,a,a,f
i,b,j,c,j
i,c,h,i,b
f,j,d,b,g
b,d,c,j,h
g,j,c,c,c
d,c,f,i,g
a,e,b,b,h
g,d,f,i,i
h,a,e,j,d
d,f,d,g,g
g,j,a,h,c
h,i,h,c,d
a,g,g,e,b
e,j,c,j,b
d,c,g,b,b
a,a,e,g,e
a,d,b,a,i
i,b,c,i,d
i,a,b,i,a
h,i,h,f,h
g,g,c,e,i
d,d,f,a,j
f,c,e,j,c
b,e,b,a,d
g,c,g,c,i
h,b,a,i,a
d,d,e,a,g
f,h,j,i,c
a,g,i,c,a
b,d,b,e,h
g,c,b,j,d
j,a,b,j,i
e,c,c,f,h
f,b,c,j,b
f,j,j,e,b
d,c,h,a,d
g,j,e,b,c
j,f,g,h,e
b,f,h,b,e
f,i,a,g,f
d,b,e,j,j
g,j,d,f,f
f,g,b,j,c
g,i,b,f,b
g,f,a,f,d
i,d,g,i,d
g,j,e,b,e
i,i,b,d,a
a,b,d,d,h
h,c,h,e,g
j,g,c,c,e
g,i,d,h,f
j,a,a,h,h
g,j,h,c,c
j,d,i,a,f
c,a,f,c,c
b,j,e,f,c
g,h,h,j,c
j,j,b,c,j
d,a,f,i,i
d,j,f,i,d
f,b,j,f,f
b,g,e,b,j
d,b,a,a,a
b,d,j,b,c
f,i,c,d,h
j,f,c,d,j
a,f,g,a,e
c,j,d,i,b
d,a,d,c,d
g,a,e,c,f
a,d,h,h,i
i,j,b,b,h
d,i,i,j,e
j,g,d,f,j
a,c,g,d,d
a,j,f,j,j
g,j,d,c,c
e,g,e,d,j
f,i,e,e,c
h,b,g,i,b
h,d,j,a,h
g,b,b,f,f
a,g,a,c,d
c,j,i,j,b
j,j,a,c,d
h,h,j,j,c
i,b,e,e,c
g,i,j,g,j
b,h,c,d,b
a,e,a,h,b
a,d,b,g,h
f,g,f,a,a
a,g,j,i,i
h,h,b,h,e
h,g,e,c,d
j,f,d,d,b
a,g,i,c,j
e,h,d,i,i
h,c,f,e,a
g,c,g,i,f
e,g,i,d,f
h,c,g,d,b
e,f,d,f,d
e,f,g,g,j
d,i,b,c,b
a,f,g,c,h
a,h,a,j,d
h,h,d,e,f
h,b,c,d,e
j,g,b,e,f
e,j,j,f,h
d,h,f,i,f
f,a,f,d,d
h,e,d,a,i
i,j,d,i,a
d,i,a,a,b
f,b,e,c,a
b,h,e,e,g
g,c,g,h,e
d,c,e,e,b
d,j,h,e,j
c,b,b,g,a
b,b,d,d,h
i,g,b,d,h
b,h,j,h,d
f,i,a,f,d
a,c,i,c,e
j,h,f,c,c
f,e,h,h,i
g,b,a,j,e
j,a,h,b,f
c,i,c,b,c
c,c,c,i,b
f,a,i,e,g
c,h,c,a,i
b,e,i,c,d
i,f,f,g,f
c,d,i,j,d
h,i,c,i,e
e,i,c,b,h
e,h,h,j,f
f,j,j,c,i
f,g,h,d,j
b,b,g,g,h
e,b,e,a,f
a,j,d,d,j
b,i,j,i,j
j,e,f,c,e
d,j,d,i,h
c,j,i,f,c
i,e,c,h,h
c,c,f,a,d
f,e,c,f,d
f,f,e,c,a
h,a,h,e,g
a,i,g,c,d
d,a,j,f,f
d,f,a,d,d
a,g,b,c,a
f,e,i,e,e
f,i,b,j,j
h,i,i,c,a
f,e,d,d,i
e,a,h,c,a
j,b,c,g,e
e,c,c,d,i
f,c,g,h,c
j,g,j,j,i
c,a,b,c,j
d,e,h,c,i
f,a,f,i,j
c,c,c,a,c
g,i,g,b,e
f,b,b,i,i
e,i,b,i,a
d,a,f,j,f
e,b,d,c,d
f,b,f,i,h
i,j,j,b,j
b,b,f,h,f
e,a,f,e,j
f,g,f,h,j
i,f,h,d,b
j,e,g,j,j
c,f,c,c,g
f,j,j,b,g
i,d,i,f,d
i,a,b,b,h
j,i,j,e,c
e,j,f,d,d
b,j,f,f,g
h,e,g,b,j
a,a,b,h,a
e,c,a,e,g
e,h,d,f,b
c,d,f,i,d
g,j,e,a,i
d,b,g,f,h
g,f,j,j,a
i,a,i,b,c
c,h,j,c,f
e,j,j,f,b
h,b,a,i,b
g,d,h,f,d
h,a,c,f,e
i,g,h,d,c
g,j,b,b,c
g,e,g,f,j
c,c,g,d,j
d,f,a,f,a
f,f,j,j,a
d,f,a,c,h
a,j,g,a,i
j,g,a,e,i
f,f,d,b,e
b,b,j,j,c
b,b,b,a,i
g,c,e,e,i
i,b,j,c,e
d,f,j,d,b
b,d,g,f,d
f,j,i,h,a
i,d,c,i,g
a,a,h,c,c
e,j,c,a,h
j,b,d,g,b
h,d,b,j,e
a,g,e,j,a
j,g,j,d,c
e,a,b,h,h
c,f,i,e,b
a,i,g,f,b
f,h,e,j,f
e,g,g,a,a
f,f,d,a,i
g,a,i,e,c
c,h,a,h,d
e,b,f,g,a
b,c,h,f,e
c,b,h,i,c
j,h,d,j,d
f,g,i,d,d
d,f,d,i,e
g,e,g,g,e
b,d,b,h,j
h,d,a,h,h
i,h,b,a,d
c,b,b,g,c
j,a,b,f,d
i,c,d,a,d
a,a,g,h,d
e,f,j,f,b
