"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10"
"D","E","G","I","F","I","N","H","M","G"
"F","G","A","G","K","N","F","F","F","J"
"F","E","L","G","I","D","J","B","F","D"
"D","B","I","A","D","E","N","G","N","O"
"G","L","O","H","O","J","N","C","G","F"
"K","I","I","A","I","A","E","G","G","N"
"K","H","D","C","E","G","G","G","D","N"
"M","E","K","K","M","C","J","F","O","M"
"E","D","L","K","C","F","E","K","C","I"
"A","L","A","F","N","L","G","K","I","N"
"A","M","N","F","F","D","D","K","K","E"
"C","O","G","J","A","K","I","M","G","B"
"N","E","E","L","J","C","N","H","I","I"
"K","K","G","M","F","I","G","L","F","B"
"J","K","I","O","J","I","F","O","G","L"
"A","J","L","D","A","K","K","C","K","B"
"A","A","B","F","O","K","E","J","L","K"
"M","O","D","E","O","K","A","J","A","G"
"A","M","K","C","I","M","J","K","I","A"
"M","G","B","O","M","E","N","I","J","C"
"K","I","J","K","J","G","D","F","O","G"
"K","C","H","G","O","C","H","C","G","F"
"N","L","K","O","N","J","C","H","B","L"
"H","M","F","L","K","I","E","O","B","K"
"C","N","L","I","E","H","H","I","E","M"
"N","J","D","E","O","C","L","G","K","F"
"J","D","C","O","G","O","H","G","G","J"
"G","A","I","G","L","M","H","E","I","K"
"M","A","F","O","J","O","E","C","C","C"
"C","J","G","A","G","E","B","D","I","K"
"D","K","E","J","B","M","M","J","N","H"
"G","A","G","K","K","B","I","K","O","L"
"E","J","I","C","E","F","M","G","G","I"
"A","N","B","K","N","J","D","N","B","K"
"O","O","I","M","G","L","J","E","D","F"
"A","L","C","C","N","J","K","J","M","L"
"L","C","C","H","J","C","B","K","H","F"
"C","J","G","B","O","K","E","A","A","G"
"D","B","B","M","O","C","M","O","G","C"
"G","F","C","B","C","A","M","L","C","G"
"C","E","J","J","O","E","B","L","N","B"
"C","E","C","L","E","F","K","C","O","G"
"J","C","A","D","G","G","C","D","D","M"
"B","L","C","J","G","G","H","N","O","D"
"H","D","K","O","I","H","A","G","D","E"
"G","G","B","G","F","G","I","F","J","A"
"K","D","G","J","E","N","M","F","M","B"
"F","B","E","D","D","H","H","K","B","K"
"C","M","G","J","K","J","E","L","F","L"
"A","B","D","B","J","B","N","H","I","D"
"C","H","I","B","O","E","I","E","C","E"
"K","A","E","K","C","J","J","G","J","C"
"E","F","F","F","N","H","H","M","F","O"
